DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2015
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350010 ADAMANTINA";-;12;78;375;428;176;39;25;13;2;3;1;8;1160
"350020 ADOLFO";-;2;10;56;9;8;1;1;3;2;7;5;6;110
"350030 AGUAI";-;1256;1066;73;20;2;2;2;4;2;5;1;35;2468
"350040 AGUAS DA PRATA";-;38;195;82;25;1;2;-;-;1;1;-;1;346
"350050 AGUAS DE LINDOIA";-;11;31;71;69;17;3;-;-;-;-;1;-;203
"350055 AGUAS DE SANTA BARBARA";-;-;-;3;4;3;2;-;-;-;1;1;-;14
"350060 AGUAS DE SAO PEDRO";-;-;5;19;5;3;-;-;-;-;-;-;-;32
"350070 AGUDOS";-;12;68;197;285;89;14;4;2;1;-;2;4;678
"350075 ALAMBARI";-;-;3;12;2;1;-;-;-;-;1;-;-;19
"350080 ALFREDO MARCONDES";-;-;-;2;15;9;6;-;-;-;-;-;1;33
"350090 ALTAIR";-;1;6;13;22;27;-;1;-;-;-;-;-;70
"350100 ALTINOPOLIS";-;1;6;31;24;5;1;-;-;-;1;-;2;71
"350110 ALTO ALEGRE";-;15;31;24;4;2;1;-;-;1;-;-;-;78
"350115 ALUMINIO";-;1;4;47;88;24;3;-;-;1;-;2;7;177
"350120 ALVARES FLORENCE";-;-;2;6;3;6;2;-;1;-;-;1;2;23
"350130 ALVARES MACHADO";-;1;5;27;67;54;33;11;8;1;3;65;64;339
"350140 ALVARO DE CARVALHO";-;3;15;6;3;-;1;-;1;-;1;1;2;33
"350150 ALVINLANDIA";-;2;12;11;2;1;1;-;-;-;-;-;-;29
"350160 AMERICANA";-;127;688;3698;4240;1995;340;38;2;4;5;14;43;11194
"350170 AMERICO BRASILIENSE";-;10;82;250;398;77;10;2;-;-;2;2;1;834
"350180 AMERICO DE CAMPOS";-;1;-;14;17;10;9;3;1;-;-;1;1;57
"350190 AMPARO";-;147;1240;3463;1551;398;33;3;2;6;8;9;18;6878
"350200 ANALANDIA";-;1;18;53;48;9;1;-;1;-;-;-;-;131
"350210 ANDRADINA";-;14;24;103;426;751;95;45;38;67;70;101;148;1882
"350220 ANGATUBA";-;4;7;42;101;54;4;-;1;-;-;-;-;213
"350230 ANHEMBI";-;1;-;68;38;7;-;-;-;-;-;-;-;114
"350240 ANHUMAS";-;1;-;3;27;50;11;2;1;-;-;1;1;97
"350250 APARECIDA";-;1;20;322;538;333;72;6;-;2;-;1;6;1301
"350260 APARECIDA D'OESTE";-;56;48;31;52;21;1;8;-;2;-;1;5;225
"350270 APIAI";-;1;3;14;10;3;-;-;-;-;-;-;-;31
"350275 ARACARIGUAMA";-;2;17;68;96;38;6;2;-;-;-;-;-;229
"350280 ARACATUBA";-;202;202;469;468;333;89;27;9;14;8;15;32;1868
"350290 ARACOIABA DA SERRA";-;18;75;88;34;18;2;-;1;-;-;1;-;237
"350300 ARAMINA";-;-;-;2;1;1;1;-;-;-;-;-;1;6
"350310 ARANDU";-;-;-;2;2;-;-;-;-;-;-;-;-;4
"350315 ARAPEI";-;3;26;63;-;-;-;-;-;-;-;-;-;92
"350320 ARARAQUARA";-;312;1091;2975;270;433;156;35;18;13;22;48;66;5439
"350330 ARARAS";-;36;203;724;1030;596;118;14;5;2;1;2;3;2734
"350335 ARCO-IRIS";-;-;-;6;4;4;-;1;-;-;-;-;-;15
"350340 AREALVA";-;16;115;67;101;39;4;3;-;-;-;-;1;346
"350350 AREIAS";-;-;-;5;-;3;-;1;-;-;1;-;-;10
"350360 AREIOPOLIS";-;1;64;274;80;23;1;-;1;-;-;-;-;444
"350370 ARIRANHA";-;9;63;91;21;12;3;-;-;-;2;-;-;201
"350380 ARTUR NOGUEIRA";-;20;213;456;113;1;-;2;-;1;2;4;4;816
"350390 ARUJA";-;10;100;408;800;928;88;8;7;2;2;9;29;2391
"350395 ASPASIA";-;-;1;9;24;5;1;-;-;-;-;3;4;47
"350400 ASSIS";-;159;718;1967;1560;320;29;11;4;1;3;5;7;4784
"350410 ATIBAIA";-;14;133;495;559;243;13;6;1;3;1;2;17;1487
"350420 AURIFLAMA";-;2;26;56;53;45;33;5;3;1;-;-;1;225
"350430 AVAI";-;86;60;58;21;4;8;-;-;-;-;-;116;353
"350440 AVANHANDAVA";-;19;35;41;34;5;-;-;-;1;-;-;-;135
"350450 AVARE";-;1;23;93;139;24;2;-;1;-;-;-;1;284
"350460 BADY BASSITT";-;4;25;106;258;251;69;4;1;1;5;9;3;736
"350470 BALBINOS";-;1;11;5;4;-;-;-;-;-;-;-;-;21
"350480 BALSAMO";-;35;132;119;26;27;9;-;2;1;-;-;-;351
"350490 BANANAL";-;3;61;198;100;15;5;-;-;-;-;-;-;382
"350500 BARAO DE ANTONINA";-;-;-;-;2;3;-;-;-;-;-;-;-;5
"350510 BARBOSA";-;3;10;44;25;32;7;-;-;-;-;1;2;124
"350520 BARIRI";-;-;5;17;58;31;-;-;-;-;-;-;-;111
"350530 BARRA BONITA";-;1;4;22;35;11;3;2;-;-;-;1;1;80
"350540 BARRA DO TURVO";-;1;3;2;3;-;-;-;-;-;-;-;-;9
"350550 BARRETOS";-;10;69;178;218;194;67;23;8;3;11;19;49;849
"350560 BARRINHA";-;1;6;14;56;38;32;7;10;-;3;2;5;174
"350570 BARUERI";-;195;940;4337;2652;879;119;14;8;7;7;13;25;9196
"350580 BASTOS";-;12;38;135;134;75;38;7;14;3;3;2;1;462
"350590 BATATAIS";-;8;15;83;72;84;31;13;7;7;43;54;179;596
"350600 BAURU";1;164;1319;3160;2570;1205;296;34;14;7;4;24;46;8844
"350610 BEBEDOURO";-;517;831;2033;2146;764;20;7;11;5;1;1;33;6369
"350620 BENTO DE ABREU";-;3;3;3;4;-;1;-;-;-;-;-;1;15
"350630 BERNARDINO DE CAMPOS";-;-;6;48;14;-;-;-;-;-;-;-;1;69
"350635 BERTIOGA";-;15;34;103;92;71;153;39;17;6;6;12;31;579
"350640 BILAC";-;2;6;11;40;24;-;1;1;1;10;38;68;202
"350650 BIRIGUI";-;83;313;754;1655;1175;382;61;39;21;25;73;118;4699
"350660 BIRITIBA-MIRIM";-;-;2;7;13;3;3;1;-;-;-;-;1;30
"350670 BOA ESPERANCA DO SUL";-;13;27;19;31;18;2;-;-;-;1;1;3;115
"350680 BOCAINA";-;-;7;32;21;1;-;-;-;-;-;-;1;62
"350690 BOFETE";-;-;1;2;1;3;-;-;-;-;-;2;1;10
"350700 BOITUVA";-;9;129;365;299;55;2;-;-;-;-;1;-;860
"350710 BOM JESUS DOS PERDOES";-;4;35;113;119;32;-;1;-;1;-;1;-;306
"350715 BOM SUCESSO DE ITARARE";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"350720 BORA";-;10;15;7;3;2;-;-;-;1;-;-;1;39
"350730 BORACEIA";-;-;4;11;18;3;-;-;-;-;-;-;-;36
"350740 BORBOREMA";-;34;195;223;70;35;10;-;1;-;1;2;4;575
"350745 BOREBI";-;2;-;2;4;-;-;-;-;-;-;-;-;8
"350750 BOTUCATU";-;13;77;353;321;84;13;3;1;-;1;5;8;879
"350760 BRAGANCA PAULISTA";-;25;56;197;322;135;48;10;4;1;1;3;11;813
"350770 BRAUNA";-;19;74;33;9;9;2;-;-;2;-;1;3;152
"350775 BREJO ALEGRE";-;3;6;6;-;-;-;-;-;-;-;-;-;15
"350780 BRODOWSKI";-;7;44;97;87;35;16;6;-;-;3;-;1;296
"350790 BROTAS";-;11;21;77;120;32;-;1;-;-;-;-;4;266
"350800 BURI";-;1;8;142;54;18;5;-;-;-;-;-;-;228
"350810 BURITAMA";-;6;83;354;225;82;33;8;7;3;-;3;4;808
"350820 BURITIZAL";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"350830 CABRALIA PAULISTA";-;2;36;47;3;-;-;-;-;-;-;-;2;90
"350840 CABREUVA";-;1;16;71;68;7;1;1;-;-;1;2;1;169
"350850 CACAPAVA";-;12;52;211;366;392;49;1;-;-;-;1;4;1088
"350860 CACHOEIRA PAULISTA";-;-;2;55;155;101;16;1;-;-;1;-;-;331
"350870 CACONDE";-;-;10;31;22;35;5;-;-;-;-;-;3;106
