DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2015
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350880 CAFELANDIA";-;27;71;86;30;1;2;1;-;1;-;1;4;224
"350890 CAIABU";-;-;-;2;6;7;10;-;-;-;-;-;-;25
"350900 CAIEIRAS";-;2;28;241;230;93;10;-;3;1;2;3;1;614
"350910 CAIUA";-;2;6;6;8;1;1;-;-;-;-;1;1;26
"350920 CAJAMAR";-;45;460;1701;985;63;11;2;1;5;4;7;3;3287
"350925 CAJATI";-;-;3;16;10;1;-;-;-;-;-;-;1;31
"350930 CAJOBI";-;12;42;37;45;9;11;-;-;-;-;-;-;156
"350940 CAJURU";-;9;110;215;401;99;37;1;-;2;2;1;2;879
"350945 CAMPINA DO MONTE ALEGRE";-;-;2;7;2;-;-;-;-;-;-;-;-;11
"350950 CAMPINAS";-;1660;7415;25872;24504;8375;1275;115;59;69;92;153;266;69855
"350960 CAMPO LIMPO PAULISTA";-;170;115;4;-;1;-;-;-;-;-;1;13;304
"350970 CAMPOS DO JORDAO";-;1;-;-;2;1;-;-;-;-;-;-;-;4
"350980 CAMPOS NOVOS PAULISTA";-;1;19;8;4;1;-;-;-;-;-;-;-;33
"350990 CANANEIA";-;2;5;53;83;21;-;-;-;-;2;2;1;169
"350995 CANAS";-;-;2;5;11;4;-;-;-;-;-;-;-;22
"351000 CANDIDO MOTA";-;382;1375;1911;602;43;2;2;2;1;-;6;5;4331
"351010 CANDIDO RODRIGUES";-;1;1;7;16;-;-;-;-;-;-;-;5;30
"351015 CANITAR";-;1;1;2;7;3;-;-;-;-;-;-;-;14
"351020 CAPAO BONITO";-;1;20;31;40;10;-;-;-;-;-;1;1;104
"351030 CAPELA DO ALTO";-;-;6;11;10;6;1;-;-;-;-;1;-;35
"351040 CAPIVARI";-;16;76;450;413;159;30;3;4;2;1;9;11;1174
"351050 CARAGUATATUBA";-;482;779;2093;1416;429;60;5;6;2;5;5;11;5293
"351060 CARAPICUIBA";-;4;21;327;539;178;18;4;4;5;2;1;3;1106
"351080 CASA BRANCA";-;16;84;203;292;222;12;-;1;4;-;3;-;837
"351090 CASSIA DOS COQUEIROS";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"351100 CASTILHO";-;15;32;90;245;146;29;10;1;1;2;5;35;611
"351110 CATANDUVA";-;3266;5021;2058;523;268;94;11;11;11;12;3;82;11360
"351120 CATIGUA";-;27;43;66;20;9;3;-;1;1;-;-;1;171
"351130 CEDRAL";-;14;61;176;84;28;2;3;-;1;2;4;3;378
"351140 CERQUEIRA CESAR";-;1;1;7;10;7;-;-;-;-;-;-;-;26
"351150 CERQUILHO";-;3;45;74;72;37;3;-;-;-;1;-;-;235
"351160 CESARIO LANGE";-;-;3;15;26;14;3;-;-;-;-;1;-;62
"351170 CHARQUEADA";-;-;-;18;49;26;6;-;-;-;1;-;-;100
"351190 CLEMENTINA";-;2;5;12;13;8;-;-;-;1;1;1;-;43
"351200 COLINA";-;6;12;101;270;105;39;19;25;4;-;-;1;582
"351210 COLOMBIA";-;1;6;26;52;77;25;2;1;1;1;-;2;194
"351220 CONCHAL";-;10;178;960;907;184;16;2;2;1;2;3;2;2267
"351230 CONCHAS";-;1;19;160;316;287;22;-;-;-;-;-;-;805
"351240 CORDEIROPOLIS";-;10;88;312;172;53;9;1;1;-;-;1;1;648
"351250 COROADOS";-;1;28;34;26;19;4;4;7;2;-;2;2;129
"351260 CORONEL MACEDO";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"351270 CORUMBATAI";-;10;19;45;34;3;1;2;-;-;-;-;-;114
"351280 COSMOPOLIS";-;23;93;162;181;57;1;-;1;2;1;2;1;524
"351290 COSMORAMA";-;1;7;24;20;3;-;-;-;-;4;11;24;94
"351300 COTIA";-;68;408;750;542;195;19;1;1;1;-;4;7;1996
"351310 CRAVINHOS";-;8;12;17;46;34;4;1;-;-;1;1;6;130
"351330 CRUZALIA";-;-;23;90;14;2;-;-;-;-;-;-;-;129
"351340 CRUZEIRO";-;6;17;48;97;36;14;3;-;-;-;-;2;223
"351350 CUBATAO";-;13;41;174;235;140;66;18;7;8;4;16;21;743
"351360 CUNHA";-;-;-;-;1;-;1;-;-;-;-;-;-;2
"351370 DESCALVADO";-;32;227;452;395;127;22;2;1;-;2;3;1;1264
"351380 DIADEMA";-;32;180;1187;1389;664;93;10;1;4;1;5;18;3584
"351385 DIRCE REIS";-;-;-;1;3;6;9;5;10;1;-;-;1;36
"351390 DIVINOLANDIA";-;-;1;5;-;-;1;-;-;-;1;-;-;8
"351400 DOBRADA";-;8;7;9;7;14;9;10;-;1;1;1;1;68
"351410 DOIS CORREGOS";-;6;40;124;176;39;8;1;-;1;-;1;1;397
"351420 DOLCINOPOLIS";-;-;4;11;14;20;10;7;4;-;2;46;41;159
"351430 DOURADO";-;4;4;2;7;9;-;-;-;-;-;-;-;26
"351440 DRACENA";-;305;357;245;147;43;2;2;-;-;1;6;23;1131
"351450 DUARTINA";-;5;9;35;6;13;4;-;-;-;-;-;-;72
"351460 DUMONT";-;4;8;55;80;61;14;1;-;-;2;2;15;242
"351470 ECHAPORA";-;15;30;11;1;-;-;-;-;-;-;-;-;57
"351480 ELDORADO";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"351490 ELIAS FAUSTO";-;407;361;116;27;5;1;1;-;-;-;-;12;930
"351492 ELISIARIO";-;15;51;45;14;7;-;-;-;-;-;-;-;132
"351495 EMBAUBA";-;5;8;-;28;24;20;4;-;-;-;-;-;89
"351500 EMBU DAS ARTES";-;10;73;315;384;192;30;3;1;-;3;1;1;1013
"351510 EMBU-GUACU";-;-;3;30;20;7;-;-;-;-;-;-;1;61
"351512 EMILIANOPOLIS";-;-;-;-;1;-;1;-;-;-;-;-;1;3
"351515 ENGENHEIRO COELHO";-;6;48;172;254;37;1;-;1;-;-;-;1;520
"351518 ESPIRITO SANTO DO PINHAL";-;27;163;471;483;258;50;2;-;2;-;5;6;1467
"351519 ESPIRITO SANTO DO TURVO";-;-;5;12;8;4;-;-;-;-;-;-;-;29
"351520 ESTRELA D'OESTE";-;341;338;353;234;138;46;5;2;1;2;5;9;1474
"351530 ESTRELA DO NORTE";-;1;-;1;2;3;-;1;-;-;-;3;9;20
"351535 EUCLIDES DA CUNHA PAULISTA";-;1;2;8;21;14;4;1;3;-;2;9;4;69
"351540 FARTURA";-;1;-;21;71;50;10;2;-;-;-;-;-;155
"351550 FERNANDOPOLIS";-;31;121;288;279;261;119;65;29;19;4;5;8;1229
"351560 FERNANDO PRESTES";-;-;12;11;9;7;-;-;-;-;-;-;-;39
"351565 FERNAO";-;1;2;5;-;-;-;-;-;-;-;-;-;8
"351570 FERRAZ DE VASCONCELOS";-;5;39;299;257;85;12;3;1;1;3;-;2;707
"351580 FLORA RICA";-;1;3;-;2;3;2;-;-;-;-;-;-;11
"351590 FLOREAL";-;-;1;2;4;2;-;-;1;1;-;-;1;12
"351600 FLORIDA PAULISTA";-;121;64;255;201;19;35;25;4;-;2;2;6;734
"351610 FLORINIA";-;96;103;44;17;2;-;-;-;-;-;-;-;262
"351620 FRANCA";-;59;187;682;569;206;93;35;13;2;8;13;60;1927
"351630 FRANCISCO MORATO";-;8;43;204;398;190;23;5;1;2;3;4;3;884
"351640 FRANCO DA ROCHA";-;12;74;428;431;337;8;11;5;4;6;15;8;1339
"351650 GABRIEL MONTEIRO";-;1;-;1;6;-;-;-;-;-;-;-;2;10
"351660 GALIA";-;19;61;140;63;5;-;-;-;-;-;-;-;288
"351670 GARCA";-;178;589;429;172;45;15;3;2;1;2;1;3;1440
"351680 GASTAO VIDIGAL";-;-;-;-;15;3;-;-;-;-;-;-;3;21
"351685 GAVIAO PEIXOTO";-;1;2;7;12;-;-;-;-;-;-;-;-;22
"351690 GENERAL SALGADO";-;3;5;11;15;11;5;-;1;-;-;-;2;53
"351700 GETULINA";-;127;94;269;190;66;4;-;-;-;-;-;-;750
"351710 GLICERIO";-;10;62;52;42;7;-;-;-;-;-;3;1;177
"351720 GUAICARA";-;67;143;160;19;12;1;-;-;-;-;1;2;405
"351730 GUAIMBE";-;46;249;237;59;16;-;-;-;-;1;1;-;609
"351740 GUAIRA";-;5;7;35;146;237;129;47;49;92;99;180;319;1345
"351750 GUAPIACU";-;7;5;45;70;55;8;3;4;1;-;-;4;202
"351760 GUAPIARA";-;-;5;10;12;2;-;-;-;-;-;-;4;33
"351770 GUARA";-;1;5;23;25;16;15;8;4;9;15;77;9;207
"351780 GUARACAI";-;10;11;17;11;41;12;2;5;2;-;3;8;122
"351790 GUARACI";-;7;20;44;7;-;-;1;-;15;11;1;2;108
"351800 GUARANI D'OESTE";-;1;2;2;2;4;2;4;1;-;-;-;-;18
"351810 GUARANTA";-;3;9;84;166;14;1;-;1;-;-;-;-;278
"351820 GUARARAPES";-;1330;837;192;45;11;4;1;7;6;1;4;36;2474
"351830 GUARAREMA";-;3;20;81;82;33;1;-;-;1;-;1;-;222
"351840 GUARATINGUETA";-;32;61;420;839;303;45;6;3;3;9;7;4;1732
"351850 GUAREI";-;-;-;2;2;5;-;-;-;1;-;-;-;10
"351860 GUARIBA";-;5;46;165;266;50;16;4;3;2;1;-;6;564
"351870 GUARUJA";-;34;66;224;451;286;78;12;16;3;6;19;43;1238
"351880 GUARULHOS";-;159;1268;6740;9863;3800;446;43;22;13;20;18;28;22420
"351885 GUATAPARA";-;-;2;15;94;128;7;-;2;-;-;2;11;261
"351890 GUZOLANDIA";-;-;-;13;21;40;18;1;1;-;-;-;-;94
"351900 HERCULANDIA";-;-;8;80;17;8;2;-;-;-;1;-;-;116
"351905 HOLAMBRA";-;27;54;82;85;31;6;-;-;-;1;-;-;286
"351907 HORTOLANDIA";-;199;821;2021;965;920;235;45;17;9;19;31;81;5363
"351910 IACANGA";-;-;9;12;36;16;19;10;3;1;3;9;1;119
"351920 IACRI";-;2;6;30;38;12;-;-;-;2;-;-;1;91
"351925 IARAS";-;-;2;1;-;1;-;-;-;-;-;-;-;4
"351930 IBATE";-;14;75;207;249;78;9;-;-;-;-;-;1;633
"351940 IBIRA";-;25;167;149;102;34;19;19;3;2;-;2;2;524
"351950 IBIRAREMA";-;1;14;115;120;12;-;-;-;-;-;1;3;266
"351960 IBITINGA";-;10;20;66;226;161;47;24;11;4;11;24;204;808
"351970 IBIUNA";-;2;13;41;24;3;1;-;-;-;-;3;1;88
"351980 ICEM";-;5;58;37;70;42;11;1;2;-;-;1;-;227
"351990 IEPE";-;-;6;20;39;31;5;1;-;1;-;5;2;110
"352000 IGARACU DO TIETE";-;-;3;6;12;2;-;-;-;-;-;1;-;24
"352010 IGARAPAVA";-;-;-;-;-;-;-;-;-;-;1;2;2;5
"352020 IGARATA";-;1;11;66;30;2;1;-;-;-;-;-;-;111
"352030 IGUAPE";-;1;31;345;144;6;-;1;-;1;-;-;-;529
"352040 ILHABELA";-;21;76;268;245;148;77;19;19;11;13;37;43;977
"352042 ILHA COMPRIDA";-;4;12;129;74;25;1;-;-;-;-;-;-;245
"352044 ILHA SOLTEIRA";-;163;159;128;60;41;34;5;3;3;3;17;27;643
"352050 INDAIATUBA";-;36;200;665;743;325;27;3;1;4;3;3;4;2014
"352060 INDIANA";-;-;-;2;27;10;1;-;2;-;-;1;1;44
"352070 INDIAPORA";-;1;1;5;11;8;1;-;1;-;1;-;-;29
"352080 INUBIA PAULISTA";-;-;3;42;18;44;27;4;14;8;7;1;1;169
"352090 IPAUSSU";-;-;15;140;125;17;-;1;-;-;-;-;-;298
"352100 IPERO";-;602;436;472;264;101;12;-;-;-;-;-;10;1897
"352110 IPEUNA";-;-;2;91;91;-;-;-;-;-;-;-;-;184
"352115 IPIGUA";-;-;8;19;39;22;5;5;3;-;1;-;2;104
"352130 IPUA";-;1;4;3;19;13;5;-;-;-;-;-;2;47
"352140 IRACEMAPOLIS";-;12;92;302;182;25;4;-;-;-;-;-;1;618
"352150 IRAPUA";-;19;42;38;42;8;4;7;1;-;-;-;3;164
"352160 IRAPURU";-;-;7;19;14;34;10;4;3;1;-;-;-;92
"352170 ITABERA";-;-;1;16;8;1;-;1;-;-;-;-;-;27
"352180 ITAI";-;4;26;18;7;4;-;-;-;-;-;-;-;59
"352190 ITAJOBI";-;16;34;29;18;11;3;-;1;-;1;-;1;114
"352200 ITAJU";-;-;-;1;3;3;-;-;-;-;-;-;-;7
"352210 ITANHAEM";-;187;1532;1678;867;150;37;6;3;3;1;3;11;4478
"352215 ITAOCA";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"352220 ITAPECERICA DA SERRA";-;7;53;639;711;271;38;6;1;3;1;10;7;1747
"352230 ITAPETININGA";-;8;51;227;136;47;15;-;-;-;-;1;2;487
"352240 ITAPEVA";-;4;63;96;52;13;1;1;-;-;-;-;2;232
"352250 ITAPEVI";-;110;406;803;394;228;5;1;2;2;-;-;11;1962
"352260 ITAPIRA";-;1916;1441;860;221;55;19;3;1;3;5;5;62;4591
"352265 ITAPIRAPUA PAULISTA";-;-;1;2;-;-;-;-;-;-;-;-;-;3
"352270 ITAPOLIS";-;28;80;169;280;136;42;14;11;9;1;6;28;804
"352280 ITAPORANGA";-;2;5;17;10;7;2;1;-;-;1;-;-;45
"352290 ITAPUI";-;-;11;72;40;6;-;-;-;-;-;1;-;130
"352300 ITAPURA";-;13;18;10;8;10;4;4;3;10;5;9;3;97
"352310 ITAQUAQUECETUBA";-;5;21;219;296;124;22;4;1;2;-;1;4;699
"352320 ITARARE";-;-;5;5;24;4;-;-;-;-;-;-;-;38
"352330 ITARIRI";-;34;128;54;298;51;7;-;-;-;-;-;4;576
"352340 ITATIBA";-;4;25;57;75;39;4;3;-;1;1;-;9;218
"352350 ITATINGA";-;-;1;5;5;3;1;-;-;-;-;-;-;15
"352360 ITIRAPINA";-;23;95;291;195;77;21;1;1;-;2;-;-;706
"352370 ITIRAPUA";-;-;-;11;28;12;8;2;-;-;-;-;1;62
"352380 ITOBI";-;1;10;42;42;9;1;-;-;1;-;-;-;106
"352390 ITU";-;23;92;405;617;362;66;12;4;5;20;42;140;1788
"352400 ITUPEVA";-;1;11;65;55;23;2;1;-;-;-;1;3;162
"352410 ITUVERAVA";-;5;1;6;26;39;20;3;1;-;5;5;28;139
"352420 JABORANDI";-;-;1;4;16;23;8;4;5;1;2;2;4;70
"352430 JABOTICABAL";-;14;21;56;58;37;10;4;2;3;8;23;101;337
"352440 JACAREI";-;31;102;815;1745;851;191;17;5;7;8;6;12;3790
"352450 JACI";-;4;8;32;19;17;15;6;11;5;20;34;103;274
"352460 JACUPIRANGA";-;3;13;68;43;12;2;-;-;-;-;-;-;141
"352470 JAGUARIUNA";-;36;182;612;298;183;45;7;1;3;4;1;1;1373
"352480 JALES";-;41;181;807;1161;891;231;36;12;11;21;32;76;3500
"352490 JAMBEIRO";-;-;1;7;7;2;-;-;-;-;-;-;1;18
"352500 JANDIRA";-;116;406;479;190;10;3;2;1;1;1;1;-;1210
"352510 JARDINOPOLIS";-;2;2;35;51;62;30;13;10;3;2;47;121;378
"352520 JARINU";-;2;4;18;22;8;1;-;-;-;-;-;1;56
"352530 JAU";-;15;46;83;107;41;8;2;1;3;4;1;8;319
"352550 JOANOPOLIS";-;-;-;6;1;-;-;-;-;-;-;-;-;7
"352560 JOAO RAMALHO";-;-;2;11;17;3;5;-;-;-;-;-;-;38
"352570 JOSE BONIFACIO";-;8;46;155;128;82;32;17;14;6;6;7;7;508
"352580 JULIO MESQUITA";-;103;101;78;13;-;-;-;-;-;-;-;1;296
"352585 JUMIRIM";-;1;2;7;5;2;-;-;-;-;-;1;-;18
"352590 JUNDIAI";-;295;949;2063;2000;667;102;17;4;8;9;22;70;6206
"352600 JUNQUEIROPOLIS";-;108;181;85;102;69;18;4;-;2;-;-;8;577
"352610 JUQUIA";-;2;14;53;42;8;-;-;-;-;-;1;2;122
"352620 JUQUITIBA";-;1;10;8;7;5;1;-;-;-;-;-;1;33
"352630 LAGOINHA";-;-;-;1;1;-;-;-;-;-;-;1;1;4
"352640 LARANJAL PAULISTA";-;3;5;36;74;40;4;-;-;-;-;1;1;164
"352650 LAVINIA";-;46;21;25;30;19;5;-;-;-;4;3;3;156
"352660 LAVRINHAS";-;-;-;7;-;-;-;-;-;-;-;-;-;7
"352670 LEME";-;7;26;75;72;37;5;-;-;2;-;-;-;224
"352680 LENCOIS PAULISTA";-;6;46;163;193;56;7;-;-;-;1;-;-;472
"352690 LIMEIRA";-;1775;6665;7890;2574;568;106;13;12;5;9;12;85;19714
"352700 LINDOIA";-;2;34;38;-;-;-;-;-;-;-;-;-;74
"352710 LINS";-;105;330;586;541;161;16;2;2;1;-;1;15;1760
"352720 LORENA";-;80;224;622;944;431;79;18;5;8;7;7;17;2442
"352725 LOURDES";-;-;4;2;20;15;7;4;4;2;1;-;1;60
"352730 LOUVEIRA";-;15;34;129;176;39;1;2;1;-;-;-;3;400
"352740 LUCELIA";-;47;61;149;104;36;6;6;4;3;-;1;2;419
"352750 LUCIANOPOLIS";-;-;9;6;2;-;-;-;-;-;-;-;-;17
"352760 LUIS ANTONIO";-;12;98;241;60;11;2;-;-;-;-;6;-;430
"352770 LUIZIANIA";-;-;2;15;15;19;2;-;-;-;-;-;-;53
"352780 LUPERCIO";-;37;7;3;-;-;-;-;-;-;-;1;1;49
"352790 LUTECIA";-;4;44;15;2;-;-;-;-;-;-;-;-;65
"352800 MACATUBA";-;2;11;34;40;22;1;-;-;-;-;1;1;112
"352810 MACAUBAL";-;3;5;7;12;10;3;-;-;-;1;1;1;43
"352820 MACEDONIA";-;-;3;10;10;7;1;-;1;1;-;-;-;33
"352830 MAGDA";-;3;5;12;4;6;1;-;-;-;-;-;-;31
"352840 MAIRINQUE";-;5;38;130;113;24;3;2;2;3;-;-;1;321
"352850 MAIRIPORA";-;5;13;72;74;26;3;-;-;-;-;2;2;197
"352860 MANDURI";-;-;1;7;4;1;-;-;-;-;-;-;-;13
"352870 MARABA PAULISTA";-;-;1;8;6;4;-;-;-;-;-;-;1;20
"352880 MARACAI";-;51;137;246;108;45;11;3;1;3;2;-;-;607
"352885 MARAPOAMA";-;9;31;32;30;6;1;1;-;-;-;-;-;110
"352890 MARIAPOLIS";-;2;9;18;51;47;24;4;-;-;-;-;-;155
"352900 MARILIA";-;4738;7192;4877;1177;398;155;13;14;25;18;15;92;18714
"352910 MARINOPOLIS";-;-;6;5;11;16;-;1;-;-;-;1;1;41
"352920 MARTINOPOLIS";-;-;3;21;55;27;16;2;-;-;1;4;3;132
"352930 MATAO";-;7;26;118;230;199;86;30;17;9;10;7;32;771
"352940 MAUA";-;11;55;293;307;68;5;3;2;-;1;2;9;756
"352950 MENDONCA";-;12;41;173;100;33;17;3;-;-;-;1;-;380
"352960 MERIDIANO";-;5;23;20;24;12;6;1;2;-;2;5;-;100
"352965 MESOPOLIS";-;-;10;34;15;5;4;1;-;-;-;-;-;69
"352970 MIGUELOPOLIS";-;5;4;9;10;6;3;1;1;-;-;-;2;41
"352980 MINEIROS DO TIETE";-;-;2;10;12;2;-;-;-;-;-;-;-;26
"352990 MIRACATU";-;2;18;83;317;54;69;5;1;-;-;1;-;550
