DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2024
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350010 ADAMANTINA";9;36;27;6;23;7;3;4;9;15;9;11;159
"350020 ADOLFO";-;2;1;5;9;4;5;2;1;9;55;55;148
"350030 AGUAI";6;44;91;111;168;59;22;4;3;3;1;3;515
"350040 AGUAS DA PRATA";1;13;68;68;68;16;1;-;-;-;-;-;235
"350050 AGUAS DE LINDOIA";14;78;300;496;409;64;18;3;-;-;-;1;1383
"350055 AGUAS DE SANTA BARBARA";1;8;47;177;295;129;16;4;3;2;-;-;682
"350060 AGUAS DE SAO PEDRO";-;19;41;59;117;19;4;4;2;2;3;5;275
"350070 AGUDOS";8;40;99;93;202;126;117;52;4;1;3;4;749
"350075 ALAMBARI";1;8;22;45;34;1;-;-;-;-;-;-;111
"350080 ALFREDO MARCONDES";-;1;1;1;1;-;-;-;-;-;4;20;28
"350090 ALTAIR";4;9;7;21;37;20;5;1;-;-;-;4;108
"350100 ALTINOPOLIS";6;23;90;166;227;54;8;1;2;-;1;1;579
"350110 ALTO ALEGRE";1;2;3;4;1;1;-;-;-;-;-;2;14
"350115 ALUMINIO";6;42;167;302;253;52;4;-;3;-;-;-;829
"350120 ALVARES FLORENCE";3;5;9;32;38;58;52;32;14;20;32;58;353
"350130 ALVARES MACHADO";1;7;1;7;5;3;1;1;2;-;-;2;30
"350140 ALVARO DE CARVALHO";3;6;7;2;8;5;12;1;1;-;2;-;47
"350150 ALVINLANDIA";2;5;73;135;152;17;2;1;-;2;-;1;390
"350160 AMERICANA";71;322;928;1668;2226;791;171;53;25;34;50;96;6435
"350170 AMERICO BRASILIENSE";8;63;71;107;179;48;26;2;9;4;2;3;522
"350180 AMERICO DE CAMPOS";4;14;12;49;84;25;15;4;3;5;8;14;237
"350190 AMPARO";28;88;219;535;1120;366;92;30;17;11;35;127;2668
