DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2010
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350010 ADAMANTINA";29;61;95;56;12;2;3;1;-;-;-;-;259
"350020 ADOLFO";-;11;19;19;8;-;1;2;-;-;-;-;60
"350030 AGUAI";2;36;112;120;46;4;3;-;-;-;-;-;323
"350040 AGUAS DA PRATA";-;-;1;-;-;-;-;-;-;-;-;-;1
"350055 AGUAS DE SANTA BARBARA";-;-;-;1;-;-;-;-;-;-;-;-;1
"350070 AGUDOS";-;-;25;44;20;3;6;7;2;-;1;-;108
"350080 ALFREDO MARCONDES";-;2;3;-;-;1;-;-;-;-;-;-;6
"350090 ALTAIR";2;-;6;2;-;-;-;-;-;-;-;-;10
"350100 ALTINOPOLIS";-;1;2;4;5;1;-;2;-;-;-;1;16
"350110 ALTO ALEGRE";1;-;-;1;1;3;-;-;-;-;-;-;6
"350115 ALUMINIO";-;-;-;-;1;-;-;-;-;-;-;-;1
"350120 ALVARES FLORENCE";-;-;-;5;-;-;1;-;-;-;-;-;6
"350130 ALVARES MACHADO";2;7;19;12;5;-;-;-;-;-;-;1;46
"350140 ALVARO DE CARVALHO";-;-;1;1;-;-;-;-;-;-;-;-;2
"350150 ALVINLANDIA";-;3;6;2;2;1;-;-;-;-;-;-;14
"350160 AMERICANA";16;70;168;247;122;16;2;4;4;-;4;4;657
"350170 AMERICO BRASILIENSE";2;13;27;20;14;3;1;1;-;2;3;7;93
"350180 AMERICO DE CAMPOS";-;-;3;3;1;-;-;-;-;-;-;-;7
"350190 AMPARO";-;2;7;9;6;3;-;1;-;-;1;3;32
"350200 ANALANDIA";-;-;-;-;-;1;-;-;-;-;-;-;1
"350210 ANDRADINA";36;78;258;247;98;37;18;11;2;4;-;5;794
"350220 ANGATUBA";-;-;3;-;-;-;-;-;-;-;-;-;3
"350230 ANHEMBI";-;-;1;-;-;-;-;-;-;-;-;-;1
"350240 ANHUMAS";1;-;-;-;-;-;-;-;-;-;-;-;1
"350250 APARECIDA";-;1;2;-;5;1;-;-;-;-;-;-;9
"350260 APARECIDA D'OESTE";1;2;10;20;2;-;1;-;-;-;-;2;38
"350275 ARACARIGUAMA";-;-;-;-;-;-;-;-;-;-;-;1;1
"350280 ARACATUBA";1509;3453;4280;2015;603;102;19;5;4;8;5;124;12127
"350290 ARACOIABA DA SERRA";-;1;1;1;-;-;-;-;-;1;-;-;4
"350300 ARAMINA";1;1;11;34;33;6;4;-;-;-;-;1;91
"350320 ARARAQUARA";28;98;342;473;328;49;10;2;7;18;1;14;1370
"350330 ARARAS";1;22;52;91;59;2;4;-;-;-;-;2;233
"350335 ARCO-IRIS";-;3;6;-;2;-;-;-;-;-;-;-;11
"350340 AREALVA";-;-;1;4;1;-;-;-;-;-;-;-;6
"350350 AREIAS";-;-;-;-;1;-;-;-;-;-;-;-;1
"350360 AREIOPOLIS";-;-;-;1;-;-;-;-;-;-;-;-;1
"350370 ARIRANHA";1;8;89;51;13;-;-;-;-;-;-;-;162
"350380 ARTUR NOGUEIRA";4;6;26;95;68;4;-;-;1;-;-;-;204
"350390 ARUJA";2;18;153;79;29;1;-;-;-;-;-;3;285
"350400 ASSIS";9;52;178;191;83;7;5;2;1;-;2;4;534
"350410 ATIBAIA";1;8;11;15;15;4;3;-;-;-;-;4;61
"350420 AURIFLAMA";8;17;29;28;4;4;1;-;-;1;2;-;94
"350440 AVANHANDAVA";-;10;82;52;18;1;-;-;-;-;-;-;163
