DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2013
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350010 ADAMANTINA";12;70;196;71;40;15;2;6;3;-;-;1;416
"350020 ADOLFO";-;1;23;10;-;1;-;-;-;-;-;-;35
"350030 AGUAI";5;60;225;120;21;8;1;1;-;-;-;-;441
"350040 AGUAS DA PRATA";-;-;-;-;1;-;-;-;-;-;1;-;2
"350050 AGUAS DE LINDOIA";-;5;-;2;-;-;-;-;-;-;-;-;7
"350055 AGUAS DE SANTA BARBARA";-;-;3;2;1;-;-;-;-;-;-;-;6
"350060 AGUAS DE SAO PEDRO";-;-;7;6;-;1;-;-;-;-;-;-;14
"350070 AGUDOS";5;6;134;261;114;27;1;2;1;3;2;-;556
"350075 ALAMBARI";3;-;2;-;-;-;-;-;-;-;-;-;5
"350080 ALFREDO MARCONDES";-;1;4;1;2;-;-;-;1;-;-;-;9
"350090 ALTAIR";35;36;38;46;7;2;-;-;-;-;-;1;165
"350100 ALTINOPOLIS";-;1;3;6;4;-;-;-;-;-;-;1;15
"350110 ALTO ALEGRE";1;1;17;3;2;-;-;-;-;-;-;-;24
"350115 ALUMINIO";1;-;-;8;7;1;-;-;-;-;-;-;17
"350120 ALVARES FLORENCE";-;-;6;9;2;2;-;-;-;1;-;-;20
"350130 ALVARES MACHADO";28;11;24;11;12;-;1;-;-;3;-;6;96
"350150 ALVINLANDIA";1;-;-;-;-;-;-;-;-;-;-;-;1
"350160 AMERICANA";11;40;255;374;246;60;8;10;12;9;25;22;1072
"350170 AMERICO BRASILIENSE";10;9;20;23;17;3;2;1;-;1;1;2;89
"350180 AMERICO DE CAMPOS";-;1;10;37;26;10;1;-;-;-;1;2;88
"350190 AMPARO";5;2;2;14;8;3;2;2;-;1;-;-;39
"350210 ANDRADINA";241;1006;1468;533;200;39;15;6;1;1;7;4;3521
"350220 ANGATUBA";-;-;-;-;1;-;-;-;-;-;-;1;2
"350230 ANHEMBI";2;-;-;-;-;-;-;-;-;-;-;-;2
"350240 ANHUMAS";2;-;1;8;4;-;-;-;-;-;-;-;15
"350250 APARECIDA";3;2;10;9;2;2;2;-;-;2;1;-;33
"350260 APARECIDA D'OESTE";-;1;5;27;17;3;1;-;-;-;-;2;56
"350270 APIAI";-;-;1;2;1;-;-;-;-;-;-;-;4
"350275 ARACARIGUAMA";1;1;2;1;3;1;-;-;-;-;-;-;9
"350280 ARACATUBA";34;67;147;198;86;29;16;1;4;7;17;11;617
"350290 ARACOIABA DA SERRA";1;3;7;1;-;-;-;-;-;-;1;-;13
"350300 ARAMINA";65;60;57;3;-;-;-;-;-;1;-;19;205
"350310 ARANDU";-;-;-;3;-;-;-;-;-;-;-;-;3
"350320 ARARAQUARA";24;52;193;286;198;91;25;14;6;4;1;9;903
"350330 ARARAS";8;43;319;564;307;35;11;3;1;6;5;3;1305
"350335 ARCO-IRIS";-;-;7;22;-;-;-;-;-;-;-;-;29
"350340 AREALVA";-;-;-;1;6;3;-;-;-;-;-;-;10
"350350 AREIAS";1;6;10;3;-;-;-;-;-;1;-;-;21
