DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2022
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350580 BASTOS";-;1;1;63;192;246;79;29;13;7;1;-;10;642
"350590 BATATAIS";-;-;10;77;440;630;177;14;2;2;-;-;-;1352
"350600 BAURU";-;25;60;534;1419;1099;342;206;143;50;20;43;67;4008
"350610 BEBEDOURO";-;-;8;90;217;205;45;8;10;2;1;1;-;587
"350620 BENTO DE ABREU";-;1;-;6;9;29;14;5;-;-;-;-;-;64
"350630 BERNARDINO DE CAMPOS";-;-;-;1;1;2;2;-;-;-;-;-;-;6
"350635 BERTIOGA";-;3;-;3;25;39;36;17;10;1;3;2;3;142
"350640 BILAC";-;7;12;50;72;6;4;1;-;-;-;-;1;153
"350650 BIRIGUI";-;76;308;2476;3540;2081;594;276;93;71;39;35;51;9640
"350660 BIRITIBA-MIRIM";-;3;1;3;28;20;1;1;-;-;-;-;1;58
"350670 BOA ESPERANCA DO SUL";-;-;-;25;145;400;136;50;12;5;8;20;22;823
"350680 BOCAINA";-;-;2;50;88;70;6;-;-;-;-;1;1;218
"350690 BOFETE";-;-;-;-;1;-;1;1;-;-;-;-;-;3
"350700 BOITUVA";-;2;-;14;34;21;5;2;1;1;1;1;3;85
"350710 BOM JESUS DOS PERDOES";-;-;-;-;1;10;2;-;-;1;-;-;-;14
"350715 BOM SUCESSO DE ITARARE";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"350720 BORA";-;17;22;14;7;3;1;-;-;-;-;-;-;64
"350730 BORACEIA";-;-;-;-;2;10;5;1;-;-;-;-;-;18
"350740 BORBOREMA";-;4;31;251;651;499;92;4;7;2;6;5;6;1558
"350745 BOREBI";-;1;2;29;85;28;2;3;4;1;-;1;-;156
"350750 BOTUCATU";-;2;1;53;105;96;23;15;3;4;3;2;5;312
"350760 BRAGANCA PAULISTA";-;1;3;17;96;94;19;16;1;5;4;3;1;260
"350770 BRAUNA";-;23;79;100;53;28;2;1;-;1;-;-;-;287
"350775 BREJO ALEGRE";-;-;11;80;66;-;-;1;-;-;-;-;-;158
"350780 BRODOWSKI";-;-;-;7;26;6;6;1;2;2;2;-;-;52
"350790 BROTAS";-;-;2;15;127;125;60;30;18;15;9;4;1;406
"350800 BURI";-;1;1;-;2;1;1;-;-;-;-;-;-;6
"350810 BURITAMA";-;462;477;410;184;76;16;12;18;5;5;-;-;1665
"350820 BURITIZAL";-;1;4;9;15;17;-;3;-;-;-;-;-;49
"350830 CABRALIA PAULISTA";-;-;-;7;21;11;2;-;-;-;-;-;-;41
"350840 CABREUVA";-;1;-;2;9;7;5;-;4;-;1;-;1;30
"350850 CACAPAVA";-;1;-;9;28;50;9;2;1;2;-;2;-;104
"350860 CACHOEIRA PAULISTA";-;-;-;2;4;2;1;1;2;1;-;-;-;13
"350870 CACONDE";-;1;-;-;1;1;1;-;-;-;-;1;-;5
"350880 CAFELANDIA";-;3;-;13;25;23;4;-;-;-;-;-;-;68
"350890 CAIABU";-;-;-;-;10;25;2;6;2;6;6;14;6;77
"350900 CAIEIRAS";-;-;-;23;81;54;13;5;1;2;5;3;8;195
"350910 CAIUA";-;1;-;6;12;22;6;1;3;-;-;-;-;51
"350920 CAJAMAR";-;-;4;12;29;48;10;6;1;1;3;1;-;115
"350925 CAJATI";-;1;-;1;-;1;-;-;-;-;-;-;1;4
"350930 CAJOBI";-;2;1;22;67;87;27;4;7;4;3;5;-;229
"350940 CAJURU";-;2;7;26;60;13;4;4;-;7;2;6;-;131
"350950 CAMPINAS";-;63;173;1384;4626;4056;1121;394;216;116;108;69;84;12410
"350960 CAMPO LIMPO PAULISTA";-;-;-;4;27;14;2;-;1;-;-;-;-;48
"350970 CAMPOS DO JORDAO";-;1;-;1;3;-;-;-;-;-;-;-;-;5
"350980 CAMPOS NOVOS PAULISTA";-;1;1;35;84;74;14;2;-;1;-;-;-;212
"350995 CANAS";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"351000 CANDIDO MOTA";-;1;5;7;10;14;8;1;-;2;-;2;2;52
"351010 CANDIDO RODRIGUES";-;-;-;-;-;11;19;12;15;14;9;3;-;83
"351015 CANITAR";-;-;-;2;32;20;9;4;3;1;-;-;-;71
"351020 CAPAO BONITO";-;-;-;8;10;4;1;-;-;-;-;1;1;25
"351030 CAPELA DO ALTO";-;-;-;2;2;11;4;2;2;-;-;-;1;24
"351040 CAPIVARI";-;5;1;12;50;65;12;2;15;8;1;-;-;171
"351050 CARAGUATATUBA";-;36;40;24;51;84;57;26;15;10;11;28;6;388
"351060 CARAPICUIBA";-;1;2;7;16;28;9;2;1;-;-;-;1;67
"351070 CARDOSO";-;12;23;82;72;15;1;2;-;1;2;4;1;215
"351080 CASA BRANCA";-;1;-;-;-;3;-;2;-;-;-;-;-;6
"351090 CASSIA DOS COQUEIROS";-;2;-;3;5;5;2;-;-;-;-;-;-;17
"351100 CASTILHO";-;3;29;83;150;151;31;18;20;9;5;17;23;539
"351110 CATANDUVA";-;44;116;736;1507;1114;388;126;88;45;63;38;54;4319
"351120 CATIGUA";-;-;7;39;110;70;14;2;-;-;-;3;2;247
"351130 CEDRAL";-;24;10;61;194;228;68;44;22;7;10;7;6;681
"351140 CERQUEIRA CESAR";-;-;-;-;5;3;-;1;1;-;-;1;-;11
"351150 CERQUILHO";-;-;-;40;91;90;9;7;2;1;1;2;1;244
"351160 CESARIO LANGE";-;-;1;16;19;44;35;48;20;-;1;-;-;184
"351170 CHARQUEADA";-;-;11;88;291;107;29;9;5;-;-;1;-;541
"351190 CLEMENTINA";-;9;20;124;48;47;5;-;-;-;-;-;-;253
"351200 COLINA";-;2;3;18;26;65;1;-;1;4;4;-;-;124
"351210 COLOMBIA";-;-;-;28;53;52;63;6;-;1;-;-;-;203
"351220 CONCHAL";-;1;-;3;5;20;5;1;-;-;-;-;-;35
"351230 CONCHAS";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"351240 CORDEIROPOLIS";-;2;4;36;85;99;24;3;1;-;2;1;-;257
"351250 COROADOS";-;1;32;169;161;65;12;4;3;4;1;-;2;454
"351270 CORUMBATAI";-;-;-;2;1;5;5;-;-;-;-;-;-;13
"351280 COSMOPOLIS";-;1;5;64;173;130;26;3;2;2;-;2;-;408
"351290 COSMORAMA";-;189;30;3;3;1;1;-;-;-;4;7;10;248
"351300 COTIA";-;-;2;24;123;92;5;1;3;2;-;-;2;254
"351310 CRAVINHOS";-;-;1;19;119;283;90;33;6;1;-;1;1;554
"351320 CRISTAIS PAULISTA";-;-;2;14;9;-;-;-;-;-;-;-;-;25
"351330 CRUZALIA";-;-;1;5;15;2;1;-;1;-;-;1;-;26
"351340 CRUZEIRO";-;5;-;3;1;3;-;-;1;-;1;-;1;15
"351350 CUBATAO";-;13;8;7;12;30;6;7;5;4;7;9;5;113
"351360 CUNHA";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"351370 DESCALVADO";-;3;6;101;326;302;74;20;1;-;2;-;-;835
"351380 DIADEMA";-;1;5;18;55;71;7;4;2;1;10;4;-;178
"351385 DIRCE REIS";-;24;80;98;28;6;3;-;-;-;-;-;-;239
"351390 DIVINOLANDIA";-;-;-;-;8;1;-;-;-;-;-;-;-;9
"351400 DOBRADA";-;-;1;12;70;148;45;4;3;1;-;-;3;287
"351410 DOIS CORREGOS";-;1;-;4;31;20;3;1;1;1;-;-;-;62
"351420 DOLCINOPOLIS";-;-;5;55;73;98;6;5;1;3;-;-;-;246
"351430 DOURADO";-;1;-;4;55;104;37;17;6;-;1;-;1;226
"351440 DRACENA";-;50;70;409;657;415;98;49;40;13;2;5;9;1817
"351450 DUARTINA";-;3;41;260;268;69;-;-;-;-;-;-;-;641
"351460 DUMONT";-;4;2;4;30;93;20;2;3;7;2;-;-;167
"351470 ECHAPORA";-;-;-;-;4;12;-;-;-;-;-;3;10;29
"351490 ELIAS FAUSTO";-;-;2;2;5;3;-;-;-;-;-;-;-;12
"351492 ELISIARIO";-;-;3;27;95;84;11;5;4;-;-;-;-;229
"351495 EMBAUBA";-;-;11;80;127;30;-;-;-;-;-;-;-;248
"351500 EMBU DAS ARTES";-;-;-;1;2;11;7;-;1;-;1;-;1;24
"351510 EMBU-GUACU";-;-;-;-;2;1;-;-;-;-;-;1;-;4
"351512 EMILIANOPOLIS";-;-;-;-;2;10;-;-;-;-;-;6;-;18
"351515 ENGENHEIRO COELHO";-;5;6;-;7;7;7;1;2;1;-;1;1;38
"351518 ESPIRITO SANTO DO PINHAL";-;-;6;107;267;264;25;9;2;2;1;-;-;683
"351519 ESPIRITO SANTO DO TURVO";-;-;9;138;63;32;2;-;-;-;-;-;-;244
"351520 ESTRELA D'OESTE";-;1;1;54;141;151;30;7;4;-;-;-;1;390
"351530 ESTRELA DO NORTE";-;1;-;2;10;13;3;-;-;-;1;-;-;30
"351535 EUCLIDES DA CUNHA PAULISTA";-;1;20;49;164;247;109;34;20;3;13;20;16;696
"351540 FARTURA";-;-;-;-;22;40;7;5;-;-;-;-;2;76
"351550 FERNANDOPOLIS";-;14;58;178;253;215;140;43;8;4;2;4;2;921
"351560 FERNANDO PRESTES";-;3;-;5;25;30;4;4;2;5;3;2;3;86
"351565 FERNAO";-;-;-;7;8;7;-;-;1;-;-;-;-;23
"351570 FERRAZ DE VASCONCELOS";-;1;1;3;41;115;35;4;3;-;3;1;-;207
"351590 FLOREAL";-;4;25;98;95;47;6;2;-;-;-;-;-;277
"351600 FLORIDA PAULISTA";-;2;2;13;80;76;24;13;10;-;1;3;3;227
"351610 FLORINIA";-;-;-;-;3;-;-;2;2;-;-;-;-;7
"351620 FRANCA";-;53;494;2888;2200;1566;193;35;18;8;9;9;19;7492
"351630 FRANCISCO MORATO";-;-;-;2;18;24;5;-;1;1;-;-;-;51
"351640 FRANCO DA ROCHA";-;-;-;5;36;40;19;2;-;3;2;2;-;109
"351650 GABRIEL MONTEIRO";-;51;87;170;99;41;13;3;-;-;-;-;-;464
"351660 GALIA";-;7;42;149;87;20;-;-;1;-;-;-;1;307
"351670 GARCA";-;30;191;2497;3405;1488;213;69;33;12;28;20;21;8007
"351680 GASTAO VIDIGAL";-;83;124;75;5;-;-;-;-;-;-;-;-;287
"351685 GAVIAO PEIXOTO";-;-;-;16;117;128;25;5;4;3;-;-;-;298
"351690 GENERAL SALGADO";-;26;120;515;452;142;16;2;3;-;1;1;-;1278
"351700 GETULINA";-;1;1;5;6;12;2;2;-;2;3;1;-;35
"351710 GLICERIO";-;3;2;52;139;103;18;2;2;-;-;-;-;321
"351720 GUAICARA";-;-;3;8;25;28;3;3;-;-;-;-;3;73
"351730 GUAIMBE";-;1;-;13;59;28;10;3;7;1;2;-;1;125
"351740 GUAIRA";-;-;1;25;104;136;77;50;29;9;8;7;8;454
"351750 GUAPIACU";-;6;7;43;224;91;10;1;-;-;3;4;2;391
"351760 GUAPIARA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"351770 GUARA";-;-;-;-;3;3;-;-;-;-;-;-;-;6
"351780 GUARACAI";-;5;82;386;667;283;38;4;8;2;-;-;2;1477
"351790 GUARACI";-;81;28;6;1;-;-;-;-;-;-;-;-;116
"351800 GUARANI D'OESTE";-;-;-;-;4;2;-;1;-;-;5;8;27;47
"351810 GUARANTA";-;5;1;3;5;2;3;-;-;-;1;-;-;20
"351820 GUARARAPES";-;10;7;79;269;259;84;43;16;6;5;3;2;783
"351830 GUARAREMA";-;17;3;10;24;45;43;22;14;17;35;24;7;261
"351840 GUARATINGUETA";-;4;5;15;12;14;13;4;4;1;7;7;8;94
"351850 GUAREI";-;-;-;-;3;1;-;-;-;-;-;-;-;4
"351860 GUARIBA";-;1;11;77;298;545;184;6;1;-;-;-;-;1123
"351870 GUARUJA";-;8;3;6;11;15;4;3;2;3;9;10;6;80
"351880 GUARULHOS";-;16;22;90;340;303;44;17;8;7;2;25;18;892
"351885 GUATAPARA";-;1;1;2;9;26;27;22;9;2;4;11;23;137
"351890 GUZOLANDIA";-;-;6;28;20;16;4;1;-;-;-;-;1;76
"351900 HERCULANDIA";-;4;1;19;64;85;35;16;7;3;1;1;1;237
"351905 HOLAMBRA";-;1;1;17;68;59;11;2;1;-;2;1;1;164
"351907 HORTOLANDIA";-;12;34;118;326;258;66;31;20;10;12;10;11;908
"351910 IACANGA";-;-;2;8;37;70;23;14;6;-;4;4;7;175
"351920 IACRI";-;13;9;14;174;70;9;2;7;4;6;17;20;345
"351925 IARAS";-;-;-;28;124;91;8;1;-;-;-;-;-;252
"351930 IBATE";-;-;21;224;375;501;157;51;18;1;-;1;-;1349
"351940 IBIRA";-;-;7;113;383;231;26;10;3;-;-;-;-;773
"351950 IBIRAREMA";-;-;-;-;5;6;1;-;-;-;-;-;1;13
"351960 IBITINGA";-;-;3;56;165;177;47;43;10;4;-;3;2;510
"351970 IBIUNA";-;-;-;2;2;1;-;-;-;-;2;-;-;7
"351980 ICEM";-;56;39;35;20;12;3;-;-;-;1;-;-;166
"351990 IEPE";-;1;-;-;8;51;9;5;8;4;3;4;25;118
"352000 IGARACU DO TIETE";-;-;-;1;17;19;3;-;-;-;-;-;-;40
"352010 IGARAPAVA";-;2;-;2;6;20;11;6;7;7;2;4;3;70
"352020 IGARATA";-;1;-;-;1;1;-;-;-;-;-;-;-;3
"352030 IGUAPE";-;-;-;-;3;3;1;-;-;-;-;-;-;7
"352040 ILHABELA";-;119;45;42;69;51;59;54;14;18;20;32;17;540
"352042 ILHA COMPRIDA";-;-;-;-;3;1;-;-;-;-;-;-;-;4
"352044 ILHA SOLTEIRA";-;1;5;7;8;14;3;8;2;-;3;3;4;58
"352050 INDAIATUBA";-;6;29;168;711;396;96;19;8;5;7;8;3;1456
"352060 INDIANA";-;1;-;4;33;100;50;24;-;-;-;-;-;212
"352070 INDIAPORA";-;-;-;-;4;3;3;2;-;1;-;1;-;14
"352080 INUBIA PAULISTA";-;-;1;23;74;58;24;27;6;3;8;13;27;264
"352090 IPAUSSU";-;-;-;1;11;11;4;-;1;-;-;-;1;29
"352100 IPERO";-;-;-;1;7;4;1;-;-;-;2;6;-;21
"352110 IPEUNA";-;2;-;5;10;14;4;6;1;3;1;-;1;47
"352115 IPIGUA";-;-;1;9;5;13;1;-;1;-;1;-;1;32
"352130 IPUA";-;3;1;25;19;7;10;4;-;1;5;7;1;83
"352140 IRACEMAPOLIS";-;5;-;5;29;28;7;-;1;-;-;-;-;75
"352150 IRAPUA";-;-;-;1;8;20;-;3;-;-;4;-;-;36
"352160 IRAPURU";-;-;-;1;33;25;19;18;19;3;6;8;13;145
"352170 ITABERA";-;-;-;2;2;7;1;-;-;-;-;-;-;12
"352180 ITAI";-;-;-;-;1;-;-;1;-;1;1;-;-;4
"352190 ITAJOBI";-;20;80;465;407;128;18;1;-;-;-;-;-;1119
"352200 ITAJU";-;-;-;-;-;9;1;6;1;-;-;-;-;17
"352210 ITANHAEM";-;3;1;12;26;28;15;3;-;3;2;3;-;96
"352215 ITAOCA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"352220 ITAPECERICA DA SERRA";-;-;-;2;-;1;-;-;-;-;-;-;2;5
"352230 ITAPETININGA";-;3;2;8;21;23;7;3;2;-;1;1;-;71
"352240 ITAPEVA";-;-;3;38;262;290;28;8;-;-;2;2;4;637
"352250 ITAPEVI";-;-;-;-;11;22;2;4;-;-;-;-;3;42
"352260 ITAPIRA";-;1;2;5;48;52;14;3;1;1;1;-;2;130
"352265 ITAPIRAPUA PAULISTA";-;-;-;-;1;-;2;-;-;-;-;-;-;3
"352270 ITAPOLIS";-;1;-;6;41;78;40;19;13;11;8;30;43;290
"352280 ITAPORANGA";-;-;10;122;216;106;10;2;3;-;-;-;-;469
"352290 ITAPUI";-;-;-;3;51;56;18;7;3;-;2;2;-;142
"352300 ITAPURA";-;5;-;-;6;5;6;-;7;1;2;-;-;32
"352310 ITAQUAQUECETUBA";-;-;3;36;83;58;6;1;-;1;1;1;3;193
"352320 ITARARE";-;1;1;5;18;33;4;1;-;-;-;2;-;65
"352340 ITATIBA";-;4;9;35;104;75;10;1;1;-;1;1;-;241
"352350 ITATINGA";-;1;-;-;1;1;-;-;-;-;-;-;-;3
"352360 ITIRAPINA";-;-;-;5;32;29;5;1;-;-;-;2;-;74
"352370 ITIRAPUA";-;-;10;120;39;33;1;-;1;1;1;-;-;206
"352380 ITOBI";-;2;-;1;3;9;-;-;-;-;-;-;-;15
"352390 ITU";-;3;3;50;150;202;41;15;3;1;1;3;7;479
"352400 ITUPEVA";-;-;2;16;61;21;8;-;-;-;1;-;-;109
"352410 ITUVERAVA";-;1;1;46;138;230;64;18;7;6;4;5;6;526
"352420 JABORANDI";-;1;-;1;12;30;17;9;15;7;3;-;1;96
"352430 JABOTICABAL";-;3;12;66;196;198;52;47;10;4;10;2;4;604
"352440 JACAREI";-;2;-;34;157;193;44;17;9;4;8;2;7;477
"352450 JACI";-;6;11;36;97;44;14;11;11;3;1;4;5;243
"352460 JACUPIRANGA";-;-;-;1;1;1;-;-;-;1;-;-;-;4
"352470 JAGUARIUNA";-;3;4;29;157;144;36;18;12;7;6;2;8;426
"352480 JALES";-;270;620;1084;596;211;23;8;6;3;3;1;1;2826
"352500 JANDIRA";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"352510 JARDINOPOLIS";-;2;2;4;6;15;-;-;-;1;-;-;-;30
"352520 JARINU";-;-;1;4;32;35;11;3;-;-;-;2;1;89
"352530 JAU";-;4;6;85;353;346;62;26;6;4;3;5;1;901
"352540 JERIQUARA";-;-;-;3;18;20;1;-;-;-;-;-;-;42
"352550 JOANOPOLIS";-;-;-;-;2;-;-;1;-;-;-;1;-;4
"352560 JOAO RAMALHO";-;1;-;6;32;48;9;1;1;-;-;-;-;98
"352570 JOSE BONIFACIO";-;24;65;867;1078;301;8;11;2;1;-;2;-;2359
"352580 JULIO MESQUITA";-;-;-;-;22;42;29;17;15;3;-;3;14;145
"352585 JUMIRIM";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"352590 JUNDIAI";-;15;32;127;330;253;55;15;5;4;12;4;6;858
"352600 JUNQUEIROPOLIS";-;9;69;413;687;211;32;8;1;-;-;3;6;1439
"352620 JUQUITIBA";-;-;-;29;101;39;12;-;-;-;-;1;-;182
"352630 LAGOINHA";-;-;-;-;7;6;2;-;-;-;-;-;-;15
"352640 LARANJAL PAULISTA";-;-;-;3;7;24;9;4;-;4;1;5;14;71
"352650 LAVINIA";-;-;-;4;18;37;7;10;9;4;1;-;2;92
"352660 LAVRINHAS";-;-;-;-;-;2;-;1;-;-;2;-;-;5
"352670 LEME";-;1;2;2;19;40;8;3;3;1;1;1;2;83
"352680 LENCOIS PAULISTA";-;-;-;13;41;69;9;6;1;-;-;2;-;141
"352690 LIMEIRA";-;2;11;86;296;219;60;18;11;7;4;4;4;722
"352700 LINDOIA";-;-;3;27;74;48;10;6;-;1;-;-;1;170
"352710 LINS";-;37;74;333;732;521;129;85;36;28;38;36;67;2116
"352720 LORENA";-;1;2;2;2;5;1;2;1;1;-;-;-;17
"352725 LOURDES";-;46;29;9;9;4;1;5;2;-;2;3;1;111
"352730 LOUVEIRA";-;1;1;8;35;48;13;4;-;-;2;4;-;116
"352740 LUCELIA";-;-;1;16;53;66;30;17;7;1;8;3;8;210
"352750 LUCIANOPOLIS";-;-;-;5;25;19;-;-;-;-;-;-;-;49
"352760 LUIS ANTONIO";-;3;12;183;282;101;23;18;3;7;4;2;2;640
"352770 LUIZIANIA";-;13;104;194;57;9;-;2;-;-;1;1;-;381
"352780 LUPERCIO";-;-;-;1;8;5;1;2;-;-;1;4;11;33
"352790 LUTECIA";-;1;-;39;138;122;10;3;1;-;-;-;-;314
"352800 MACATUBA";-;-;1;4;18;37;12;1;-;-;-;-;-;73
"352810 MACAUBAL";-;6;5;16;32;19;2;-;-;-;-;-;-;80
"352820 MACEDONIA";-;1;2;3;13;12;1;3;4;16;10;4;8;77
"352830 MAGDA";-;5;27;22;37;26;3;1;-;1;-;-;-;122
"352840 MAIRINQUE";-;-;-;2;1;1;-;-;-;-;-;-;1;5
"352850 MAIRIPORA";-;-;-;-;11;8;6;1;1;2;-;3;1;33
"352860 MANDURI";-;-;-;-;3;2;-;-;-;-;-;-;-;5
"352870 MARABA PAULISTA";-;-;-;17;143;93;7;3;-;-;-;-;-;263
"352880 MARACAI";-;2;1;1;6;6;-;1;1;-;2;-;-;20
"352885 MARAPOAMA";-;-;-;8;12;13;6;5;-;-;-;-;-;44
"352890 MARIAPOLIS";-;-;-;2;38;57;17;9;7;1;2;4;6;143
"352900 MARILIA";-;16;32;188;503;364;90;53;29;15;18;12;13;1333
"352910 MARINOPOLIS";-;1;18;45;69;50;13;2;-;-;-;2;-;200
"352920 MARTINOPOLIS";-;1;20;320;709;327;41;8;1;1;-;-;1;1429
"352930 MATAO";-;3;11;137;956;1472;53;4;1;2;-;-;-;2639
"352940 MAUA";-;-;4;16;20;31;3;3;7;4;2;1;-;91
"352950 MENDONCA";-;5;22;126;213;100;24;8;1;-;2;2;-;503
"352960 MERIDIANO";-;9;39;23;6;11;7;6;4;3;2;2;3;115
"352965 MESOPOLIS";-;6;26;10;12;6;-;-;-;-;-;-;-;60
"352970 MIGUELOPOLIS";-;1;-;-;2;2;1;-;1;-;-;-;1;8
"352980 MINEIROS DO TIETE";-;-;-;1;26;26;6;2;-;2;-;-;1;64
"352990 MIRACATU";-;-;1;-;-;-;12;6;10;2;6;2;-;39
"353000 MIRA ESTRELA";-;-;2;3;34;60;25;12;6;3;-;-;-;145
"353010 MIRANDOPOLIS";-;13;23;52;158;165;66;62;42;16;16;21;19;653
"353020 MIRANTE DO PARANAPANEMA";-;-;-;3;11;13;7;6;4;8;16;62;29;159
"353030 MIRASSOL";-;7;25;201;270;102;14;12;-;-;1;1;-;633
"353040 MIRASSOLANDIA";-;1;2;1;4;-;-;-;-;1;-;-;-;9
"353050 MOCOCA";-;1;1;3;6;3;4;6;-;-;1;-;-;25
"353060 MOGI DAS CRUZES";-;5;-;13;63;79;14;10;1;-;3;1;1;190
"353070 MOGI GUACU";-;23;68;351;925;788;182;56;15;3;-;6;4;2421
"353080 MOGI MIRIM";-;10;8;15;60;63;22;40;11;4;2;5;9;249
