DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2022
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350010 ADAMANTINA";-;9;7;126;428;472;95;40;21;11;12;39;71;1331
"350020 ADOLFO";-;40;26;47;31;14;1;-;-;-;-;-;1;160
"350030 AGUAI";-;2;1;1;2;2;-;-;-;-;-;-;-;8
"350050 AGUAS DE LINDOIA";-;-;-;1;5;12;3;1;-;-;-;-;-;22
"350055 AGUAS DE SANTA BARBARA";-;-;-;-;12;34;3;3;-;-;-;-;-;52
"350060 AGUAS DE SAO PEDRO";-;-;2;4;20;11;4;1;1;-;-;-;-;43
"350070 AGUDOS";-;2;-;31;67;85;14;9;3;2;1;3;5;222
"350075 ALAMBARI";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"350080 ALFREDO MARCONDES";-;-;-;-;4;15;10;2;4;2;5;66;123;231
"350090 ALTAIR";-;2;4;15;11;1;1;-;-;-;-;1;-;35
"350100 ALTINOPOLIS";-;-;-;2;6;3;-;-;-;-;-;-;-;11
"350110 ALTO ALEGRE";-;96;78;101;38;22;-;-;-;-;-;-;-;335
"350115 ALUMINIO";-;-;-;3;1;-;-;-;-;-;-;-;-;4
"350120 ALVARES FLORENCE";-;33;102;179;73;14;9;-;-;-;4;1;14;429
"350130 ALVARES MACHADO";-;2;-;3;11;40;16;25;15;21;34;104;207;478
"350140 ALVARO DE CARVALHO";-;-;-;9;54;42;15;1;2;-;-;-;-;123
"350150 ALVINLANDIA";-;-;-;-;3;13;1;-;-;-;-;1;1;19
"350160 AMERICANA";-;17;95;1075;2072;1816;332;126;35;18;29;8;12;5635
"350170 AMERICO BRASILIENSE";-;6;103;777;1308;752;107;45;15;5;7;3;3;3131
"350180 AMERICO DE CAMPOS";-;8;110;139;130;54;8;-;-;2;-;1;-;452
"350190 AMPARO";-;-;-;10;31;35;7;-;2;2;-;-;-;87
"350200 ANALANDIA";-;-;-;-;11;30;18;12;10;4;4;2;2;93
"350210 ANDRADINA";-;9;41;187;705;866;189;27;9;3;8;15;10;2069
"350220 ANGATUBA";-;-;-;2;2;2;-;2;-;-;-;-;-;8
"350230 ANHEMBI";-;1;-;1;1;2;-;-;-;-;-;-;-;5
"350240 ANHUMAS";-;-;2;14;95;74;46;10;4;-;1;4;1;251
"350250 APARECIDA";-;-;-;-;8;18;5;1;-;-;1;1;4;38
"350260 APARECIDA D'OESTE";-;3;22;152;146;49;7;1;7;-;1;-;-;388
"350270 APIAI";-;-;1;2;1;-;-;-;-;-;-;1;-;5
"350275 ARACARIGUAMA";-;-;-;1;2;1;-;-;-;-;-;-;-;4
"350280 ARACATUBA";-;84;183;814;1174;465;193;69;34;27;37;20;19;3119
"350290 ARACOIABA DA SERRA";-;-;1;3;2;4;-;-;-;1;3;-;-;14
"350300 ARAMINA";-;-;-;4;8;2;-;-;-;-;-;-;-;14
"350320 ARARAQUARA";-;150;774;5492;8328;5121;1279;339;93;76;35;26;18;21731
"350330 ARARAS";1;36;181;744;1165;687;88;12;7;3;1;3;-;2928
"350335 ARCO-IRIS";-;-;1;7;19;26;14;8;2;6;2;6;7;98
"350340 AREALVA";-;-;-;-;3;11;5;10;8;4;-;1;-;42
"350350 AREIAS";-;-;-;-;-;2;-;-;-;-;2;-;-;4
"350360 AREIOPOLIS";-;-;1;2;3;2;2;-;2;-;-;-;-;12
"350370 ARIRANHA";-;2;3;7;23;14;7;2;-;-;-;-;1;59
"350380 ARTUR NOGUEIRA";-;-;15;37;113;58;40;9;6;-;1;1;3;283
"350390 ARUJA";-;-;4;6;74;55;10;1;-;1;1;2;1;155
"350395 ASPASIA";-;4;20;58;78;53;6;2;-;-;2;-;-;223
"350400 ASSIS";-;16;14;65;160;167;47;32;22;13;15;13;11;575
"350410 ATIBAIA";-;9;6;25;325;377;185;108;75;63;42;34;31;1280
"350420 AURIFLAMA";-;3;15;80;198;40;3;4;-;-;-;1;-;344
"350430 AVAI";-;-;2;8;1;2;6;4;8;3;2;2;1;39
"350440 AVANHANDAVA";-;1;6;90;121;33;29;8;8;1;1;-;3;301
"350450 AVARE";-;-;2;4;41;32;7;6;2;-;-;-;-;94
"350460 BADY BASSITT";1;39;35;112;165;110;73;60;7;6;12;2;3;625
"350470 BALBINOS";-;-;-;-;-;1;-;-;1;-;2;1;-;5
"350480 BALSAMO";-;2;15;79;146;24;10;2;-;-;-;1;-;279
"350490 BANANAL";-;1;-;-;-;-;1;-;-;-;-;-;-;2
"350500 BARAO DE ANTONINA";-;-;-;6;40;46;-;-;-;1;-;-;-;93
"350510 BARBOSA";-;5;6;32;129;193;75;49;24;12;8;13;17;563
"350520 BARIRI";-;-;-;-;-;7;2;-;-;-;-;-;-;9
"350530 BARRA BONITA";-;-;2;32;155;95;27;6;-;-;-;-;1;318
"350540 BARRA DO TURVO";-;-;1;-;2;3;2;1;1;-;-;-;-;10
"350550 BARRETOS";-;8;19;154;674;703;234;240;30;13;8;6;7;2096
"350560 BARRINHA";-;2;6;87;201;86;38;14;3;4;1;-;5;447
"350570 BARUERI";-;2;5;13;28;24;12;4;4;3;1;1;2;99
