DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2020
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350010 ADAMANTINA";167;309;305;175;62;18;9;5;3;1;1;4;1059
"350020 ADOLFO";1;-;-;2;2;-;-;1;1;-;-;1;8
"350030 AGUAI";562;751;517;81;34;7;7;-;-;2;3;34;1998
"350040 AGUAS DA PRATA";1;5;15;3;2;-;-;-;-;-;-;-;26
"350050 AGUAS DE LINDOIA";2;2;1;-;-;-;-;-;-;-;-;-;5
"350055 AGUAS DE SANTA BARBARA";-;-;1;-;-;-;-;-;-;-;-;-;1
"350060 AGUAS DE SAO PEDRO";-;11;4;11;1;-;-;-;-;-;-;-;27
"350070 AGUDOS";2;1;3;2;2;4;6;-;-;-;4;4;28
"350080 ALFREDO MARCONDES";8;44;35;19;22;13;3;1;-;1;2;1;149
"350090 ALTAIR";-;-;-;-;-;-;-;-;1;-;-;-;1
"350100 ALTINOPOLIS";2;12;7;-;4;-;-;-;1;-;-;-;26
"350110 ALTO ALEGRE";2;9;11;4;4;-;1;-;-;-;-;-;31
"350115 ALUMINIO";-;2;2;1;-;-;-;-;-;-;-;-;5
"350120 ALVARES FLORENCE";22;24;6;9;7;-;-;-;-;-;-;-;68
"350130 ALVARES MACHADO";15;42;62;75;63;11;2;-;-;-;4;2;276
"350140 ALVARO DE CARVALHO";-;3;2;1;-;7;-;-;-;-;-;1;14
"350150 ALVINLANDIA";1;11;4;5;4;-;-;-;-;-;-;1;26
"350160 AMERICANA";80;145;232;220;166;142;82;22;22;18;16;25;1170
"350170 AMERICO BRASILIENSE";8;13;6;3;3;2;2;-;-;1;-;3;41
"350180 AMERICO DE CAMPOS";154;82;13;3;-;-;-;-;-;-;-;12;264
"350190 AMPARO";5;10;8;26;23;10;2;-;4;3;-;3;94
"350200 ANALANDIA";-;1;4;11;2;-;-;-;-;1;-;1;20
