DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2009
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350010 ADAMANTINA";-;-;-;-;-;1;-;-;-;-;-;1;2
"350020 ADOLFO";-;-;-;-;1;-;-;-;1;-;-;-;2
"350030 AGUAI";1;1;7;52;23;-;1;-;-;-;-;-;85
"350050 AGUAS DE LINDOIA";-;1;-;-;-;-;-;-;-;-;-;-;1
"350070 AGUDOS";-;-;2;-;-;-;-;-;2;-;-;-;4
"350075 ALAMBARI";-;-;-;-;-;-;-;-;-;-;-;1;1
"350115 ALUMINIO";-;1;-;-;-;-;-;-;-;-;-;-;1
"350120 ALVARES FLORENCE";-;-;-;1;-;-;-;-;-;2;-;-;3
"350130 ALVARES MACHADO";-;-;-;-;-;-;-;-;-;-;-;1;1
"350160 AMERICANA";2;3;2;-;2;-;-;-;1;1;1;1;13
"350170 AMERICO BRASILIENSE";-;1;3;2;-;-;-;-;-;-;-;1;7
"350180 AMERICO DE CAMPOS";-;-;-;1;1;3;-;-;-;-;1;-;6
"350190 AMPARO";-;-;-;1;-;-;-;-;-;-;-;-;1
"350210 ANDRADINA";-;1;3;-;1;1;-;-;-;-;-;4;10
"350260 APARECIDA D'OESTE";-;1;-;-;1;-;-;-;-;-;-;-;2
"350280 ARACATUBA";2;3;1;3;11;13;4;2;1;16;79;369;504
"350290 ARACOIABA DA SERRA";-;1;2;-;-;-;-;-;-;-;-;1;4
"350320 ARARAQUARA";2;-;7;14;5;-;-;-;1;2;3;4;38
"350330 ARARAS";5;1;1;5;1;-;1;4;-;2;-;1;21
"350370 ARIRANHA";-;-;-;-;2;-;-;-;-;1;-;-;3
"350380 ARTUR NOGUEIRA";-;1;1;-;-;-;-;-;-;-;-;-;2
"350390 ARUJA";-;-;1;-;-;-;-;-;-;-;-;-;1
"350400 ASSIS";-;1;-;1;1;-;-;-;-;-;-;1;4
"350410 ATIBAIA";1;1;2;-;-;-;-;-;-;-;-;1;5
"350420 AURIFLAMA";-;-;-;-;-;-;-;-;-;1;1;1;3
"350440 AVANHANDAVA";-;-;-;-;-;1;-;-;-;-;1;-;2
"350460 BADY BASSITT";20;36;81;23;2;-;-;-;-;-;-;-;162
"350480 BALSAMO";-;-;-;-;-;-;-;1;-;1;-;1;3
"350510 BARBOSA";1;-;1;3;-;-;-;-;1;-;-;-;6
"350520 BARIRI";1;-;-;-;-;-;-;-;-;-;-;-;1
"350530 BARRA BONITA";-;-;-;1;-;-;-;-;-;-;-;-;1
"350550 BARRETOS";3;5;16;18;15;8;2;3;-;1;10;17;98
"350560 BARRINHA";-;-;-;-;-;-;-;-;-;-;1;-;1
"350570 BARUERI";5;7;26;34;16;2;6;1;-;-;2;5;104
"350590 BATATAIS";-;-;1;-;-;-;-;-;-;1;1;-;3
"350600 BAURU";1;-;2;10;7;2;1;-;1;-;-;3;27
"350610 BEBEDOURO";1;-;1;1;1;-;-;-;-;-;-;2;6
"350630 BERNARDINO DE CAMPOS";-;-;-;-;-;-;-;-;-;-;1;-;1
"350635 BERTIOGA";-;1;1;1;2;3;2;1;1;-;-;-;12
"350640 BILAC";-;-;-;-;-;-;-;-;-;-;-;1;1
"350650 BIRIGUI";-;-;5;5;1;-;-;-;-;-;-;5;16
"350690 BOFETE";-;-;-;-;-;1;-;-;-;-;-;-;1
"350700 BOITUVA";4;1;-;-;1;-;-;-;-;-;-;-;6
"350710 BOM JESUS DOS PERDOES";-;-;1;-;-;-;-;-;-;-;-;-;1
"350740 BORBOREMA";-;2;1;1;-;-;-;-;-;1;-;-;5
"350750 BOTUCATU";2;-;2;1;-;-;-;-;-;-;-;-;5
