DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2011
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350010 ADAMANTINA";2;1;2;1;2;1;-;-;-;-;-;-;9
"350020 ADOLFO";-;-;1;-;2;-;-;-;-;-;-;-;3
"350030 AGUAI";-;-;-;1;1;-;1;-;-;-;-;-;3
"350040 AGUAS DA PRATA";-;-;-;-;1;-;-;-;-;-;-;-;1
"350050 AGUAS DE LINDOIA";-;-;2;1;-;-;-;-;-;-;-;-;3
"350055 AGUAS DE SANTA BARBARA";-;-;1;-;-;-;-;-;-;-;-;-;1
"350070 AGUDOS";1;5;11;22;17;2;1;-;1;2;1;-;63
"350075 ALAMBARI";-;-;-;1;-;-;-;-;-;-;-;-;1
"350100 ALTINOPOLIS";2;1;7;6;8;-;-;-;2;-;1;-;27
"350115 ALUMINIO";-;-;-;-;1;-;-;-;-;-;-;-;1
"350120 ALVARES FLORENCE";-;-;1;1;-;-;-;-;-;-;-;-;2
"350130 ALVARES MACHADO";-;-;1;-;1;-;-;-;1;-;-;-;3
"350140 ALVARO DE CARVALHO";-;-;1;-;-;-;-;-;-;-;-;-;1
"350150 ALVINLANDIA";-;-;-;1;-;-;-;-;-;-;-;-;1
"350160 AMERICANA";7;68;143;363;267;25;2;4;1;2;4;4;890
"350170 AMERICO BRASILIENSE";18;36;101;262;103;5;4;2;3;-;1;-;535
"350180 AMERICO DE CAMPOS";-;-;1;2;1;-;-;-;-;-;-;-;4
"350190 AMPARO";3;-;9;5;10;1;-;2;-;1;1;-;32
"350210 ANDRADINA";9;8;17;144;145;52;5;5;-;2;-;-;387
"350250 APARECIDA";-;3;5;7;17;1;-;-;-;4;5;2;44
"350260 APARECIDA D'OESTE";6;4;13;36;4;-;-;-;-;-;-;-;63
"350275 ARACARIGUAMA";-;2;1;-;-;-;-;-;-;-;-;-;3
"350280 ARACATUBA";9;4;6;22;17;4;2;3;9;3;4;3;86
"350290 ARACOIABA DA SERRA";2;1;-;-;1;-;-;-;-;-;-;-;4
"350300 ARAMINA";20;98;89;12;-;-;-;-;-;-;-;-;219
"350310 ARANDU";-;-;1;1;-;-;-;-;-;-;-;-;2
"350320 ARARAQUARA";27;280;692;904;575;79;21;17;16;6;1;4;2622
"350330 ARARAS";3;1;18;114;112;13;4;1;1;1;1;-;269
"350340 AREALVA";-;1;3;1;-;-;-;-;-;1;-;-;6
"350350 AREIAS";-;-;1;-;-;1;-;-;-;-;-;-;2
"350370 ARIRANHA";-;-;-;-;-;-;1;-;1;1;-;-;3
"350380 ARTUR NOGUEIRA";-;-;11;25;5;3;1;2;-;-;2;2;51
"350390 ARUJA";3;3;3;2;2;-;-;-;-;-;-;-;13
"350395 ASPASIA";-;-;1;-;1;-;-;-;-;-;-;-;2
"350400 ASSIS";23;65;130;240;62;5;2;-;1;1;1;3;533
"350410 ATIBAIA";5;4;25;45;27;3;1;1;-;-;3;1;115
"350420 AURIFLAMA";-;-;4;2;-;-;1;-;-;-;-;-;7
"350430 AVAI";-;-;-;-;1;-;-;-;-;-;-;-;1
"350440 AVANHANDAVA";-;-;1;-;2;-;-;-;-;-;2;-;5
"350450 AVARE";-;-;4;-;1;-;1;-;-;-;-;-;6
"350460 BADY BASSITT";-;-;8;4;1;1;-;-;-;1;-;-;15
"350480 BALSAMO";-;-;1;-;3;-;-;-;-;-;1;-;5
"350490 BANANAL";1;-;2;14;7;-;1;-;-;-;-;-;25
"350520 BARIRI";1;2;21;66;54;-;1;2;1;-;-;-;148
"350530 BARRA BONITA";-;-;1;3;3;1;-;-;-;-;-;-;8
"350535 BARRA DO CHAPEU";-;-;1;-;-;-;-;-;-;-;-;-;1
"350550 BARRETOS";41;181;245;385;248;31;11;-;7;3;1;14;1167
"350560 BARRINHA";9;23;17;28;33;7;1;1;-;-;-;-;119
"350570 BARUERI";27;44;112;151;132;21;5;3;-;4;4;5;508
"350580 BASTOS";-;-;2;2;1;-;-;-;-;-;-;-;5
"350590 BATATAIS";1;30;76;107;59;5;1;-;2;-;-;-;281
"350600 BAURU";92;512;1093;1572;905;118;19;7;7;5;6;6;4342
"350610 BEBEDOURO";4;9;8;32;67;5;1;-;-;-;-;2;128
"350620 BENTO DE ABREU";-;-;-;1;-;-;-;-;-;-;-;-;1
"350630 BERNARDINO DE CAMPOS";-;-;1;-;8;1;-;-;-;-;-;1;11
"350635 BERTIOGA";-;4;3;17;9;4;-;3;1;-;1;4;46
"350650 BIRIGUI";5;10;20;50;40;-;-;2;1;3;6;3;140
"350660 BIRITIBA-MIRIM";1;-;-;1;-;-;-;-;-;-;-;-;2
"350670 BOA ESPERANCA DO SUL";-;1;-;6;10;-;-;2;-;-;-;-;19
"350680 BOCAINA";-;-;1;8;2;-;-;-;-;-;-;-;11
"350690 BOFETE";-;-;1;-;-;-;-;-;-;-;-;-;1
"350700 BOITUVA";2;-;1;3;-;2;-;-;1;-;-;-;9
"350730 BORACEIA";1;-;-;-;-;-;-;-;-;-;-;-;1
"350740 BORBOREMA";-;6;17;12;18;15;7;7;3;5;2;9;101
"350745 BOREBI";-;-;-;-;1;-;-;-;-;-;-;-;1
"350750 BOTUCATU";-;3;15;12;6;-;-;3;-;-;1;2;42
"350760 BRAGANCA PAULISTA";1;2;4;10;4;1;2;-;1;-;-;1;26
"350780 BRODOWSKI";2;23;35;61;20;1;-;-;-;-;-;1;143
"350790 BROTAS";-;1;4;6;2;-;-;-;-;-;-;-;13
"350800 BURI";-;-;-;1;-;-;-;-;-;-;-;-;1
"350810 BURITAMA";-;2;1;6;1;-;-;-;-;-;-;-;10
"350820 BURITIZAL";-;4;7;1;2;-;-;-;-;-;-;-;14
"350840 CABREUVA";2;-;-;-;-;-;-;-;-;-;-;-;2
"350850 CACAPAVA";1;2;13;29;27;2;-;-;-;-;1;-;75
"350860 CACHOEIRA PAULISTA";7;59;127;147;76;9;2;3;3;3;4;6;446
"350870 CACONDE";-;-;1;-;2;-;-;-;-;-;-;-;3
"350880 CAFELANDIA";-;-;-;4;10;1;-;-;-;-;-;-;15
"350900 CAIEIRAS";1;6;10;46;13;2;2;2;-;-;1;-;83
"350920 CAJAMAR";7;6;4;9;7;1;1;1;-;-;-;-;36
"350925 CAJATI";6;8;46;96;35;3;-;-;1;-;-;1;196
"350930 CAJOBI";1;2;6;54;52;19;5;5;12;13;5;-;174
"350940 CAJURU";1;1;1;18;7;-;2;3;4;1;-;-;38
"350950 CAMPINAS";108;369;875;1553;875;150;33;14;23;62;42;42;4146
"350960 CAMPO LIMPO PAULISTA";-;-;-;4;1;-;-;-;-;-;-;-;5
"350970 CAMPOS DO JORDAO";-;-;-;2;1;-;-;-;-;-;-;-;3
"350980 CAMPOS NOVOS PAULISTA";-;1;2;-;-;-;-;-;-;-;-;-;3
"350990 CANANEIA";-;-;-;-;1;-;-;-;-;-;-;-;1
"350995 CANAS";-;4;12;20;20;4;-;-;-;-;-;1;61
"351000 CANDIDO MOTA";1;8;10;21;6;-;-;-;-;1;-;1;48
"351010 CANDIDO RODRIGUES";-;-;1;5;13;1;-;-;-;-;-;-;20
"351015 CANITAR";-;1;-;-;-;-;-;-;-;-;-;-;1
"351020 CAPAO BONITO";-;1;3;-;-;-;-;-;-;-;-;-;4
"351030 CAPELA DO ALTO";-;-;-;-;-;-;-;-;-;-;-;1;1
