DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2014
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350010 ADAMANTINA";-;1;2;6;12;13;5;1;1;1;1;-;43
"350020 ADOLFO";-;-;-;1;-;-;-;-;-;-;-;1;2
"350030 AGUAI";23;1;3;5;12;-;3;-;-;11;98;372;528
"350040 AGUAS DA PRATA";-;1;-;1;1;-;1;-;-;-;-;1;5
"350050 AGUAS DE LINDOIA";1;-;3;6;3;-;1;-;-;-;1;-;15
"350055 AGUAS DE SANTA BARBARA";-;-;-;3;2;1;-;-;-;-;-;-;6
"350060 AGUAS DE SAO PEDRO";-;13;26;39;14;4;-;-;-;-;-;-;96
"350070 AGUDOS";1;-;2;6;3;3;3;-;-;-;-;1;19
"350075 ALAMBARI";-;1;-;1;6;-;-;-;-;-;-;-;8
"350080 ALFREDO MARCONDES";4;3;1;2;-;-;1;-;-;-;-;-;11
"350090 ALTAIR";-;-;-;-;-;-;-;-;-;1;-;2;3
"350100 ALTINOPOLIS";-;1;-;1;-;-;-;-;-;-;-;-;2
"350115 ALUMINIO";1;-;1;3;2;-;-;-;-;-;1;-;8
"350120 ALVARES FLORENCE";-;1;5;12;11;-;1;1;-;-;2;-;33
"350130 ALVARES MACHADO";-;-;1;2;1;-;-;1;2;-;1;1;9
"350140 ALVARO DE CARVALHO";-;-;-;-;-;-;-;-;1;-;-;-;1
"350160 AMERICANA";245;1595;2238;3434;1576;299;48;22;21;19;14;57;9568
"350170 AMERICO BRASILIENSE";5;10;9;22;26;5;4;2;3;1;2;2;91
"350180 AMERICO DE CAMPOS";-;-;-;26;19;8;4;-;-;-;2;1;60
"350190 AMPARO";1;8;47;302;77;16;7;2;5;4;5;5;479
"350200 ANALANDIA";-;-;-;-;1;1;-;-;-;-;-;1;3
"350210 ANDRADINA";1;2;7;10;13;13;1;-;2;-;3;4;56
"350220 ANGATUBA";-;-;-;-;-;-;1;-;-;-;-;-;1
"350250 APARECIDA";4;2;9;23;40;16;11;3;2;-;4;2;116
"350260 APARECIDA D'OESTE";1;1;-;3;4;11;12;8;6;2;-;3;51
