DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2023
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350010 ADAMANTINA";547;787;1143;683;137;14;4;5;7;7;9;5;3348
"350020 ADOLFO";3;2;2;7;3;-;-;-;-;-;-;-;17
"350030 AGUAI";-;-;2;1;2;1;-;2;-;-;-;-;8
"350040 AGUAS DA PRATA";-;1;3;1;3;-;-;-;-;1;-;1;10
"350050 AGUAS DE LINDOIA";-;-;1;2;-;-;-;-;-;-;-;-;3
"350055 AGUAS DE SANTA BARBARA";-;1;-;3;3;1;-;-;-;-;-;-;8
"350060 AGUAS DE SAO PEDRO";-;-;1;1;-;-;-;-;-;-;-;-;2
"350070 AGUDOS";8;163;553;1058;543;74;12;3;3;16;6;11;2450
"350075 ALAMBARI";-;-;-;1;-;-;-;-;-;-;-;-;1
"350080 ALFREDO MARCONDES";185;103;80;46;17;1;-;-;-;-;-;-;432
"350090 ALTAIR";1;3;3;1;-;-;-;-;-;-;-;-;8
"350100 ALTINOPOLIS";1;1;9;18;8;3;-;-;-;-;3;4;47
"350110 ALTO ALEGRE";1;-;1;1;1;2;1;1;4;-;1;-;13
"350115 ALUMINIO";-;-;-;4;5;2;-;-;-;-;-;-;11
"350120 ALVARES FLORENCE";11;6;1;2;4;1;1;1;-;-;-;1;28
"350130 ALVARES MACHADO";481;429;365;136;24;4;-;-;-;1;1;2;1443
"350140 ALVARO DE CARVALHO";3;14;27;48;19;4;1;-;-;-;-;-;116
"350150 ALVINLANDIA";3;3;30;79;3;-;-;-;-;-;-;-;118
"350160 AMERICANA";30;31;126;301;206;42;13;6;9;16;16;14;810
"350170 AMERICO BRASILIENSE";3;27;117;136;75;21;9;5;4;6;3;-;406
"350180 AMERICO DE CAMPOS";-;1;1;1;-;-;1;-;-;-;1;-;5
"350190 AMPARO";8;22;129;248;165;24;9;8;4;5;3;1;626
"350200 ANALANDIA";1;2;1;2;-;-;1;-;1;-;-;2;10
"350210 ANDRADINA";49;134;1072;1129;605;147;22;4;2;4;1;1;3170
"350220 ANGATUBA";-;-;2;6;7;-;1;-;-;-;-;-;16
"350230 ANHEMBI";-;1;15;65;27;2;-;1;-;-;-;1;112
"350240 ANHUMAS";8;28;60;46;18;1;2;-;-;-;-;-;163
"350250 APARECIDA";5;53;119;71;36;6;-;1;-;1;-;1;293
"350260 APARECIDA D'OESTE";1;4;12;10;-;-;-;-;-;-;1;-;28
"350270 APIAI";-;-;-;-;3;-;-;-;-;-;-;1;4
"350275 ARACARIGUAMA";1;13;30;49;27;2;1;-;-;-;-;-;123
"350280 ARACATUBA";65;83;205;348;207;73;31;13;17;28;17;22;1109
"350290 ARACOIABA DA SERRA";-;-;2;5;9;1;-;-;-;-;-;-;17
"350300 ARAMINA";-;3;1;-;-;-;-;-;-;-;-;-;4
"350310 ARANDU";-;-;2;30;38;10;-;-;1;-;-;-;81
"350320 ARARAQUARA";26;77;212;306;234;50;22;31;23;30;37;20;1068
"350330 ARARAS";7;6;19;8;5;2;3;1;2;-;2;5;60
"350335 ARCO-IRIS";77;58;37;25;2;1;-;-;1;3;-;-;204
"350340 AREALVA";1;5;48;149;98;32;1;5;1;5;15;3;363
"350350 AREIAS";-;-;6;3;-;-;-;-;1;-;-;1;11
"350360 AREIOPOLIS";-;1;3;11;8;1;2;-;-;-;-;-;26
"350370 ARIRANHA";1;4;3;5;19;11;3;1;-;-;3;13;63
"350380 ARTUR NOGUEIRA";-;1;9;13;16;1;3;4;-;-;1;3;51
"350390 ARUJA";-;3;13;45;25;4;1;-;1;4;2;8;106
"350395 ASPASIA";1;2;13;7;3;1;1;-;-;-;-;-;28
"350400 ASSIS";51;139;590;1645;1146;73;58;40;31;42;45;53;3913
"350410 ATIBAIA";26;39;73;137;106;52;24;28;66;84;67;60;762
"350420 AURIFLAMA";-;1;8;5;1;-;1;1;-;-;-;-;17
"350430 AVAI";2;2;5;2;-;-;-;-;-;-;-;-;11
"350440 AVANHANDAVA";2;-;1;25;10;2;3;1;1;-;-;1;46
"350450 AVARE";-;4;53;123;131;24;5;-;-;-;1;1;342
"350460 BADY BASSITT";6;11;26;37;33;14;4;-;1;3;2;3;140
"350470 BALBINOS";-;3;86;60;4;-;-;-;1;-;-;-;154
"350480 BALSAMO";-;1;1;-;-;-;1;-;-;2;-;-;5
"350490 BANANAL";-;-;-;-;-;-;1;-;-;-;-;1;2
"350500 BARAO DE ANTONINA";-;7;29;178;74;9;1;-;-;1;-;-;299
"350510 BARBOSA";6;26;34;49;13;12;-;2;7;6;6;-;161
"350520 BARIRI";1;-;-;22;53;27;4;3;3;1;61;45;220
"350530 BARRA BONITA";1;4;36;41;34;3;-;-;-;-;1;6;126
"350550 BARRETOS";9;40;101;199;371;98;27;23;14;3;10;12;907
"350560 BARRINHA";2;10;64;90;54;31;6;4;11;15;3;10;300
"350570 BARUERI";16;9;59;99;63;23;6;3;7;14;5;4;308
"350580 BASTOS";51;341;595;544;127;11;-;2;2;1;-;-;1674
"350590 BATATAIS";12;54;110;286;233;52;16;2;3;2;1;2;773
"350600 BAURU";167;654;4494;5592;3204;604;163;129;77;26;48;142;15300
"350610 BEBEDOURO";6;22;63;150;106;26;11;5;5;7;5;31;437
"350620 BENTO DE ABREU";-;1;7;14;7;5;-;2;4;-;-;-;40
"350630 BERNARDINO DE CAMPOS";-;1;9;15;13;1;-;-;-;-;-;-;39
