"Cód.Município","Municipio","2006",,"2008",,"2009",,"2011",,"2012",,"2013",,"2014",,"2015",,"2016",,"2017",,"2018",,"2019",,"2020",,"2021",,"2024",,"2025",
"MU","3526308","Lagoinha (SP)","5195","Pessoas","4917","Pessoas","4909","Pessoas","4833","Pessoas","4824","Pessoas","4966","Pessoas","4960","Pessoas","4954","Pessoas","4949","Pessoas","4943","Pessoas","4903","Pessoas","4896","Pessoas","4889","Pessoas","4882","Pessoas","5182","Pessoas","5183","Pessoas"
"MU","3526605","Lavrinhas (SP)","6994","Pessoas","6915","Pessoas","7002","Pessoas","6635","Pessoas","6678","Pessoas","6950","Pessoas","7002","Pessoas","7052","Pessoas","7102","Pessoas","7150","Pessoas","7207","Pessoas","7260","Pessoas","7311","Pessoas","7361","Pessoas","7328","Pessoas","7348","Pessoas"
"MU","3527207","Lorena (SP)","83728","Pessoas","82391","Pessoas","82770","Pessoas","82887","Pessoas","83224","Pessoas","86337","Pessoas","86764","Pessoas","87178","Pessoas","87584","Pessoas","87980","Pessoas","88276","Pessoas","88706","Pessoas","89125","Pessoas","89532","Pessoas","87370","Pessoas","87468","Pessoas"
"MU","3531704","Monteiro Lobato (SP)","3789","Pessoas","4235","Pessoas","4295","Pessoas","4159","Pessoas","4197","Pessoas","4381","Pessoas","4424","Pessoas","4467","Pessoas","4509","Pessoas","4549","Pessoas","4608","Pessoas","4653","Pessoas","4696","Pessoas","4739","Pessoas","4205","Pessoas","4205","Pessoas"
"MU","3532306","Natividade da Serra (SP)","7317","Pessoas","7613","Pessoas","7674","Pessoas","6657","Pessoas","6637","Pessoas","6821","Pessoas","6803","Pessoas","6786","Pessoas","6770","Pessoas","6754","Pessoas","6681","Pessoas","6661","Pessoas","6642","Pessoas","6624","Pessoas","7134","Pessoas","7155","Pessoas"
"MU","3535606","Paraibuna (SP)","18574","Pessoas","16863","Pessoas","16833","Pessoas","17418","Pessoas","17446","Pessoas","18040","Pessoas","18083","Pessoas","18125","Pessoas","18166","Pessoas","18206","Pessoas","18180","Pessoas","18222","Pessoas","18263","Pessoas","18302","Pessoas","17950","Pessoas","17959","Pessoas"
"MU","3538006","Pindamonhangaba (SP)","143737","Pessoas","142997","Pessoas","144613","Pessoas","148605","Pessoas","150162","Pessoas","157062","Pessoas","158864","Pessoas","160614","Pessoas","162327","Pessoas","164000","Pessoas","166475","Pessoas","168328","Pessoas","170132","Pessoas","171885","Pessoas","172027","Pessoas","172681","Pessoas"
"MU","3538501","Piquete (SP)","15533","Pessoas","14766","Pessoas","14709","Pessoas","14024","Pessoas","13942","Pessoas","14278","Pessoas","14199","Pessoas","14123","Pessoas","14048","Pessoas","13976","Pessoas","13742","Pessoas","13657","Pessoas","13575","Pessoas","13495","Pessoas","12570","Pessoas","12516","Pessoas"
"MU","3540754","Potim (SP)","16454","Pessoas","20026","Pessoas","20668","Pessoas","19842","Pessoas","20272","Pessoas","21501","Pessoas","21984","Pessoas","22453","Pessoas","22911","Pessoas","23360","Pessoas","24143","Pessoas","24643","Pessoas","25130","Pessoas","25603","Pessoas","20767","Pessoas","20801","Pessoas"
"MU","3541901","Queluz (SP)","10148","Pessoas","11012","Pessoas","11197","Pessoas","11478","Pessoas","11641","Pessoas","12234","Pessoas","12419","Pessoas","12600","Pessoas","12777","Pessoas","12949","Pessoas","13228","Pessoas","13420","Pessoas","13606","Pessoas","13788","Pessoas","9146","Pessoas","9074","Pessoas"
