DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2019
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"354930 SAO JOAO DO PAU D'ALHO";15;-;2;1;5;7;1;-;-;-;-;-;31
"354940 SAO JOAQUIM DA BARRA";2388;2218;714;314;127;17;-;1;9;24;10;93;5915
"354950 SAO JOSE DA BELA VISTA";56;52;102;29;2;-;-;1;-;-;-;1;243
"354960 SAO JOSE DO BARREIRO";-;-;-;-;-;1;-;-;-;-;-;-;1
"354970 SAO JOSE DO RIO PARDO";1;4;10;85;130;31;4;-;1;1;-;1;268
"354980 SAO JOSE DO RIO PRETO";2298;4926;6572;10836;8818;2849;531;202;113;107;132;372;37756
"354990 SAO JOSE DOS CAMPOS";39;50;84;149;236;113;66;36;12;28;33;19;865
"355000 SAO LUIS DO PARAITINGA";-;-;1;-;9;1;1;-;-;-;-;-;12
"355010 SAO MANUEL";-;1;15;25;37;9;1;-;-;-;-;-;88
"355020 SAO MIGUEL ARCANJO";-;1;2;5;9;3;1;-;1;2;-;-;24
"355030 SAO PAULO";327;739;2638;6642;6979;2105;598;175;165;148;128;137;20781
"355040 SAO PEDRO";1;-;7;57;50;33;7;3;3;2;2;4;169
"355050 SAO PEDRO DO TURVO";-;1;2;5;13;3;-;-;-;-;-;-;24
"355060 SAO ROQUE";1;-;-;5;3;1;1;-;1;1;-;1;14
"355070 SAO SEBASTIAO";12;76;133;225;596;332;136;49;27;37;70;74;1767
"355080 SAO SEBASTIAO DA GRAMA";-;1;1;-;5;-;-;-;-;3;2;1;13
"355090 SAO SIMAO";-;7;42;87;353;65;3;1;1;4;18;33;614
"355100 SAO VICENTE";-;-;1;9;15;15;4;1;2;-;-;2;49
"355110 SARAPUI";-;-;-;1;-;-;-;-;-;-;-;1;2
"355120 SARUTAIA";-;-;-;-;1;-;-;-;-;-;-;-;1
"355130 SEBASTIANOPOLIS DO SUL";9;5;4;13;-;-;-;-;-;-;-;1;32
"355140 SERRA AZUL";-;11;40;66;100;15;6;-;-;-;-;-;238
"355150 SERRANA";2;17;254;314;99;2;2;-;-;-;1;1;692
"355160 SERRA NEGRA";-;1;4;3;3;-;1;4;1;1;1;-;19
"355170 SERTAOZINHO";11;25;103;396;604;232;60;27;5;12;27;132;1634
"355180 SETE BARRAS";-;-;-;-;1;-;2;-;-;2;52;17;74
"355190 SEVERINIA";3;5;24;166;380;135;31;14;3;4;2;2;769
"355200 SILVEIRAS";-;-;2;8;17;1;-;-;-;-;2;-;30
"355210 SOCORRO";1;6;17;33;63;15;1;3;2;-;-;1;142
"355220 SOROCABA";30;43;231;364;374;151;52;28;22;15;19;23;1352
"355230 SUD MENNUCCI";28;129;132;113;92;39;5;3;-;-;-;-;541
"355240 SUMARE";4;32;205;603;798;248;31;5;7;4;4;5;1946
"355250 SUZANO";1;5;30;123;177;40;14;3;14;16;11;10;444
"355255 SUZANAPOLIS";90;83;44;54;17;-;-;-;-;-;-;6;294
"355260 TABAPUA";5;25;89;187;241;44;10;3;2;1;3;3;613
"355270 TABATINGA";2;115;49;67;104;9;1;1;-;-;1;-;349
"355280 TABOAO DA SERRA";2;5;12;34;51;13;2;2;1;7;5;-;134
"355290 TACIBA";-;-;-;5;8;5;-;-;-;-;-;-;18
"355300 TAGUAI";1;1;-;1;11;4;-;-;-;1;-;-;19
"355310 TAIACU";2;10;15;42;18;9;1;-;-;-;-;-;97
"355320 TAIUVA";3;14;34;113;25;10;3;-;-;1;-;-;203
"355330 TAMBAU";-;2;2;5;6;1;1;2;4;-;-;-;23
"355340 TANABI";6;38;104;398;622;239;47;16;5;2;7;9;1493
"355360 TAPIRATIBA";-;-;6;7;3;-;-;-;-;1;1;2;20
"355365 TAQUARAL";-;-;1;6;24;13;-;-;-;-;-;-;44
"355370 TAQUARITINGA";28;113;483;1490;1584;276;58;18;4;5;3;7;4069
"355380 TAQUARITUBA";-;1;4;5;9;2;-;-;-;-;-;-;21
"355385 TAQUARIVAI";-;-;-;1;2;-;-;-;-;-;-;-;3
"355390 TARABAI";-;-;3;1;2;5;1;-;-;-;-;-;12
"355395 TARUMA";1;-;16;88;35;9;16;1;1;3;2;-;172
"355400 TATUI";1;6;3;11;12;11;2;-;1;-;1;1;49
"355410 TAUBATE";12;16;26;60;117;51;36;17;15;21;14;30;415
"355420 TEJUPA";-;-;-;1;-;-;-;-;-;-;-;-;1
"355430 TEODORO SAMPAIO";1;2;23;35;32;24;4;1;3;8;2;-;135
"355440 TERRA ROXA";50;88;41;8;-;-;-;-;-;-;-;3;190
"355450 TIETE";-;-;-;1;12;5;4;-;2;-;-;-;24
"355460 TIMBURI";-;-;-;2;1;-;1;1;-;-;-;-;5
"355470 TORRINHA";-;-;6;14;9;2;-;-;-;-;-;-;31
"355475 TRABIJU";2;6;18;9;2;-;-;-;2;1;12;7;59
"355480 TREMEMBE";-;-;2;2;9;3;1;1;-;-;-;-;18
"355490 TRES FRONTEIRAS";7;32;43;41;20;14;4;-;-;-;-;-;161
"355500 TUPA";22;89;523;2382;2480;709;83;20;11;18;4;10;6351
"355510 TUPI PAULISTA";55;72;72;48;47;9;17;8;8;1;2;10;349
"355520 TURIUBA";-;2;7;40;2;-;-;1;-;-;-;-;52
"355530 TURMALINA";-;1;5;32;6;7;10;1;3;13;19;12;109
"355535 UBARANA";24;106;93;97;75;14;4;-;-;-;-;2;415
"355540 UBATUBA";5;64;109;260;582;333;172;48;3;2;3;-;1581
"355550 UBIRAJARA";1;1;2;1;-;-;-;-;-;-;-;-;5
"355560 UCHOA";105;197;55;44;44;24;7;3;-;6;3;9;497
"355570 UNIAO PAULISTA";50;49;16;6;17;3;1;-;-;-;-;4;146
"355580 URANIA";3;10;27;75;208;105;19;5;2;9;7;25;495
"355590 URU";-;-;11;2;1;1;-;-;-;-;-;-;15
"355600 URUPES";-;3;18;66;34;3;-;-;-;1;-;1;126
"355610 VALENTIM GENTIL";12;12;59;141;21;4;1;4;3;1;1;6;265
"355620 VALINHOS";6;8;34;116;145;42;7;2;2;-;1;1;364
"355630 VALPARAISO";2;7;24;53;88;76;33;4;12;11;15;6;331
"355640 VARGEM GRANDE DO SUL";2;19;51;135;149;53;8;2;-;1;-;1;421
"355645 VARGEM GRANDE PAULISTA";1;1;3;2;2;2;-;-;-;-;2;-;13
"355650 VARZEA PAULISTA";1;3;127;282;210;37;1;-;2;3;1;-;667
"355660 VERA CRUZ";1;-;7;48;30;10;1;1;-;-;-;1;99
"355670 VINHEDO";-;4;36;112;98;20;4;1;2;3;-;5;285
"355680 VIRADOURO";2;1;19;124;108;28;13;2;-;-;-;-;297
"355690 VISTA ALEGRE DO ALTO";-;2;4;47;133;63;15;2;-;-;-;-;266
"355695 VITORIA BRASIL";-;1;1;4;2;2;-;-;5;12;20;10;57
"355700 VOTORANTIM";1;8;24;29;20;6;2;1;-;1;-;-;92
"355710 VOTUPORANGA";50;154;346;973;1655;1321;513;286;173;172;333;504;6480
"355715 ZACARIAS";1;3;10;27;34;-;-;-;-;-;-;-;75
"355720 CHAVANTES";-;1;17;50;79;11;1;-;1;-;-;-;160
"355730 ESTIVA GERBI";-;41;95;97;70;4;-;-;-;-;-;-;307
"Total";23504;48300;73680;114979;115200;38261;9262;3124;2137;2607;4409;7336;442799
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB
 (Coordenação Geral de Vigilância de Arboviroses - CGARB) em sua série histórica, que para tal, realiza análise ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de
 alarme e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar o sistema e-SUS Vigilância em Saúde. Portanto, para os casos de Arboviroses urbanas do Espírito Santo
 foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiológica, em cada período pode apresentar notificações com data de
 notificação do ano anterior (semana epidemiológica 52 ou 53) e posterior (semana epidemiológica 01).
 Para cálculo da incidência recomenda-se utilizar locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023.
 Dados de 2023 atualizados em 04/06/2024 às 07 horas.
 Dados de 2024 atualizados em 28/07/2025 às 18:30 horas.
 Dados de 2025 atualizados em 25/08/2025 às 03:00 horas, sujeitos à revisão.
 * Dados disponibilizados no TABNET em agosto de 2025.
 
