Município de notificação,Codigo Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total,Ano
NATIVIDADE DA SERRA,353230,0,2,32,34,31,14,1,0,0,2,2,3,121,2024
PARAIBUNA,353560,5,54,168,310,286,70,25,8,1,27,2,14,970,2024
PINDAMONHANGABA,353800,3566,6495,7991,4187,1665,286,54,21,12,8,8,99,24392,2024
PIQUETE,353850,11,88,197,189,28,40,2,0,2,4,2,0,563,2024
POTIM,354075,59,262,368,320,186,83,40,68,79,53,44,31,1593,2024
QUELUZ,354190,5,9,21,53,89,27,0,0,0,0,0,0,204,2024
REDENCAO DA SERRA,354230,0,16,62,33,8,0,0,0,0,0,0,0,119,2024
ROSEIRA,354430,46,91,156,83,40,10,0,0,0,0,0,0,426,2024
SANTA BRANCA,354600,22,232,227,486,156,18,0,1,0,0,7,12,1161,2024
SANTO ANTONIO DO PINHAL,354820,0,5,28,22,14,7,4,0,0,0,0,0,80,2024
SAO BENTO DO SAPUCAI,354860,0,34,114,243,185,33,5,0,4,1,1,4,624,2024
SAO JOSE DO BARREIRO,354960,4,30,57,64,26,9,0,0,0,2,0,0,192,2024
SAO JOSE DOS CAMPOS,354990,1147,6930,26848,33973,21560,8035,2218,77,74,73,86,86,101107,2024
SAO LUIS DO PARAITINGA,355000,3,17,206,511,98,0,1,0,0,0,0,0,836,2024
SAO PAULO,355030,8975,40886,145236,210771,191040,43953,8705,2773,1869,1230,1072,1044,657554,2024
SAO SEBASTIAO,355070,100,434,1162,1657,1412,476,147,30,9,7,7,8,5449,2024
SILVEIRAS,355200,1,6,21,81,73,12,6,3,0,0,0,0,203,2024
TAUBATE,355410,1398,4933,9903,7471,4196,1222,95,40,28,24,28,50,29388,2024
TREMEMBE,355480,352,804,679,425,203,74,16,14,1,4,2,13,2587,2024
APARECIDA,350250,13,20,20,24,30,7,1,1,0,0,0,0,116,2025
ARAPEI,350315,0,1,3,0,0,0,0,0,0,0,0,0,4,2025
AREIAS,350350,0,0,1,0,0,0,0,1,0,0,0,0,2,2025
BANANAL,350490,0,35,22,18,12,1,0,2,0,0,0,0,90,2025
CACAPAVA,350850,18,45,144,198,396,61,39,47,0,0,0,1,949,2025
CACHOEIRA PAULISTA,350860,2,3,6,34,20,8,3,2,0,0,0,2,80,2025
CAMPOS DO JORDAO,350970,6,6,5,6,7,0,1,0,0,0,0,0,31,2025
CANAS,350995,0,2,0,0,1,0,0,0,0,0,0,0,3,2025
CARAGUATATUBA,351050,61,140,254,355,287,121,41,5,0,0,0,6,1270,2025
CRUZEIRO,351340,3,3,19,11,9,3,1,0,0,0,0,0,49,2025
CUNHA,351360,4,3,1,6,8,0,0,0,0,0,0,0,22,2025
GUARATINGUETA,351840,13,19,65,114,112,45,19,10,0,0,0,3,400,2025
IGARATA,352020,1,4,4,5,2,0,2,1,0,0,0,0,19,2025
ILHABELA,352040,43,78,159,240,236,123,39,0,0,0,0,2,920,2025
JACAREI,352440,243,622,1072,906,847,256,165,99,0,0,0,4,4214,2025
JAMBEIRO,352490,3,9,7,11,15,3,3,1,0,0,0,0,52,2025
LAGOINHA,352630,0,2,3,2,3,1,0,0,0,0,0,0,11,2025
LAVRINHAS,352660,3,3,0,5,1,0,0,0,0,0,0,0,12,2025
LORENA,352720,11,8,15,14,17,5,2,0,0,0,0,1,73,2025
MONTEIRO LOBATO,353170,1,8,12,5,6,1,0,0,0,0,0,0,33,2025
NATIVIDADE DA SERRA,353230,0,1,2,4,1,0,0,0,0,0,0,0,8,2025
PARAIBUNA,353560,37,17,32,22,9,0,0,0,0,0,0,3,120,2025
PINDAMONHANGABA,353800,31,71,216,271,323,137,31,6,0,0,0,1,1087,2025
PIQUETE,353850,0,0,1,1,5,2,0,0,0,0,0,0,9,2025
POTIM,354075,37,46,51,61,84,17,20,14,0,0,0,3,333,2025
QUELUZ,354190,0,0,5,5,7,1,1,0,0,0,0,0,19,2025
REDENCAO DA SERRA,354230,1,0,0,1,0,0,0,0,0,0,0,0,2,2025
ROSEIRA,354430,1,1,4,4,11,0,0,0,0,0,0,0,21,2025
SANTA BRANCA,354600,2,8,12,6,12,4,0,1,0,0,0,0,45,2025
SANTO ANTONIO DO PINHAL,354820,0,0,2,1,1,0,0,0,0,0,0,0,4,2025
SAO BENTO DO SAPUCAI,354860,0,0,3,1,0,0,0,0,0,0,0,0,4,2025
SAO JOSE DO BARREIRO,354960,0,0,1,0,0,0,0,0,0,0,0,0,1,2025
SAO JOSE DOS CAMPOS,354990,363,620,1443,1323,1097,393,485,418,0,0,0,8,6150,2025
SAO LUIS DO PARAITINGA,355000,0,2,0,5,0,1,0,0,0,0,0,0,8,2025
SAO PAULO,355030,3508,6757,18853,19291,11912,3474,1596,907,0,0,0,179,66477,2025
SAO SEBASTIAO,355070,66,178,321,309,361,151,35,5,0,0,0,5,1431,2025
SILVEIRAS,355200,0,3,0,2,0,2,0,0,0,0,0,0,7,2025
TAUBATE,355410,55,137,536,1254,921,361,106,27,0,0,0,4,3401,2025
TREMEMBE,355480,0,9,19,47,65,29,5,6,0,0,0,0,180,2025
