Município de notificação,Codigo Município,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total,Ano,Populacao
CARAGUATATUBA,351050,94,369,1730,2636,2272,842,265,96,124,99,112,77,8716,2024,141084
NATIVIDADE DA SERRA,353230,0,13,27,55,13,0,0,0,0,0,0,0,108,2025,7155
PARAIBUNA,353560,206,94,178,122,50,0,0,0,0,0,0,16,666,2025,17959
PINDAMONHANGABA,353800,17,41,125,156,187,79,17,3,0,0,0,0,625,2025,172681
PIQUETE,353850,0,0,7,7,39,15,0,0,0,0,0,0,68,2025,12516
POTIM,354075,177,221,245,293,403,81,96,67,0,0,0,14,1597,2025,20801
QUELUZ,354190,0,0,55,55,77,11,11,0,0,0,0,0,209,2025,9074
REDENCAO DA SERRA,354230,21,0,0,21,0,0,0,0,0,0,0,0,42,2025,4637
SILVEIRAS,355200,0,47,0,31,0,31,0,0,0,0,0,0,109,2025,6329
SANTA BRANCA,354600,14,56,84,42,84,28,0,7,0,0,0,0,315,2025,14219
SANTO ANTONIO DO PINHAL,354820,0,0,27,13,13,0,0,0,0,0,0,0,53,2025,7314
SAO BENTO DO SAPUCAI,354860,0,0,25,8,0,0,0,0,0,0,0,0,33,2025,11989
SAO JOSE DO BARREIRO,354960,0,0,25,0,0,0,0,0,0,0,0,0,25,2025,3888
SAO JOSE DOS CAMPOS,354990,49,85,198,181,150,54,66,57,0,0,0,1,841,2025,727078
SAO LUIS DO PARAITINGA,355000,0,19,0,47,0,9,0,0,0,0,0,0,75,2025,10487
SAO SEBASTIAO,355070,78,211,380,366,428,179,41,5,0,0,0,5,1693,2025,84280
MONTEIRO LOBATO,353170,23,190,285,118,142,23,0,0,0,0,0,0,781,2025,4205
ROSEIRA,354430,8,8,35,35,98,0,0,0,0,0,0,0,184,2025,11137
LORENA,352720,12,9,17,16,19,5,2,0,0,0,0,1,81,2025,87468
CRUZEIRO,351340,3,3,24,14,11,3,1,0,0,0,0,0,59,2025,76444
LAGOINHA,352630,0,38,57,38,57,19,0,0,0,0,0,0,209,2025,5183
TAUBATE,355410,17,42,166,388,285,111,32,8,0,0,0,1,1050,2025,322397
APARECIDA,350250,39,60,60,72,90,21,3,3,0,0,0,0,348,2025,33141
ARAPEI,350315,0,42,127,0,0,0,0,0,0,0,0,0,169,2025,2355
AREIAS,350350,0,0,27,0,0,0,0,27,0,0,0,0,54,2025,3617
BANANAL,350490,0,346,217,178,118,9,0,19,0,0,0,0,887,2025,10097
CACAPAVA,350850,17,44,143,197,395,60,38,46,0,0,0,0,940,2025,100071
CACHOEIRA PAULISTA,350860,6,9,18,104,61,24,9,6,0,0,0,6,243,2025,32534
LAVRINHAS,352660,40,40,0,68,13,0,0,0,0,0,0,0,161,2025,7348
CAMPOS DO JORDAO,350970,12,12,10,12,14,0,2,0,0,0,0,0,62,2025,47956
CARAGUATATUBA,351050,42,98,178,249,201,85,28,3,0,0,0,4,888,2025,142248
CUNHA,351360,17,13,4,26,35,0,0,0,0,0,0,0,95,2025,22460
GUARATINGUETA,351840,10,15,53,93,91,36,15,8,0,0,0,2,323,2025,121916
IGARATA,352020,9,36,36,45,18,0,18,9,0,0,0,0,171,2025,10984
ILHABELA,352040,117,213,434,656,645,336,106,0,0,0,0,5,2512,2025,36559
JACAREI,352440,96,247,427,361,337,102,65,39,0,0,0,1,1675,2025,250952
JAMBEIRO,352490,45,136,105,166,226,45,45,15,0,0,0,0,783,2025,6611
CANAS,350995,0,39,0,0,19,0,0,0,0,0,0,0,58,2025,5068
TREMEMBE,355480,0,16,35,87,121,54,9,11,0,0,0,0,333,2025,53426
