DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2007
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350010 ADAMANTINA";5;5;40;169;83;2;-;-;1;2;2;3;312
"350020 ADOLFO";1;1;4;4;1;-;-;-;-;-;-;-;11
"350030 AGUAI";1;5;28;44;20;3;-;-;-;-;-;-;101
"350040 AGUAS DA PRATA";-;-;1;1;-;-;-;-;-;-;-;-;2
"350050 AGUAS DE LINDOIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"350060 AGUAS DE SAO PEDRO";-;-;-;2;1;1;-;-;-;-;-;-;4
"350070 AGUDOS";-;1;8;30;8;-;-;-;-;-;4;-;51
"350090 ALTAIR";-;-;-;-;1;-;-;-;-;-;-;-;1
"350110 ALTO ALEGRE";-;1;1;3;2;-;-;-;-;-;-;-;7
"350115 ALUMINIO";-;-;-;-;1;-;-;-;-;-;-;-;1
"350120 ALVARES FLORENCE";-;-;-;2;-;2;-;-;-;-;-;-;4
"350130 ALVARES MACHADO";2;8;7;1;4;-;-;-;-;-;-;-;22
"350150 ALVINLANDIA";-;1;1;2;1;-;1;-;-;-;2;-;8
"350160 AMERICANA";5;19;217;275;142;11;3;3;2;4;4;1;686
"350170 AMERICO BRASILIENSE";-;2;5;5;-;-;-;-;-;-;-;-;12
"350180 AMERICO DE CAMPOS";-;1;4;9;1;-;-;-;-;-;1;-;16
"350190 AMPARO";-;2;-;6;5;-;-;1;-;-;12;1;27
"350200 ANALANDIA";-;-;1;3;-;-;-;-;-;-;-;-;4
"350210 ANDRADINA";288;1338;863;82;15;-;-;-;1;-;2;15;2604
"350220 ANGATUBA";-;-;-;-;-;-;-;-;-;-;-;1;1
"350250 APARECIDA";-;13;127;41;1;-;-;-;-;-;-;-;182
"350260 APARECIDA D'OESTE";6;19;18;13;9;-;-;1;-;-;-;1;67
"350275 ARACARIGUAMA";-;-;-;1;-;-;-;-;-;-;-;-;1
"350280 ARACATUBA";183;528;834;616;264;31;5;1;-;3;3;17;2485
"350300 ARAMINA";7;2;10;18;7;-;-;-;-;-;1;1;46
"350320 ARARAQUARA";8;17;46;127;61;9;1;5;7;6;6;35;328
"350330 ARARAS";6;19;145;179;72;8;3;-;-;1;-;2;435
"350335 ARCO-IRIS";-;-;-;1;-;-;-;-;-;-;-;-;1
"350340 AREALVA";-;-;-;1;1;-;-;-;-;-;-;-;2
"350370 ARIRANHA";1;-;18;16;3;-;-;-;-;-;1;-;39
"350380 ARTUR NOGUEIRA";-;1;8;50;23;3;1;-;-;-;-;1;87
"350390 ARUJA";-;-;-;-;2;-;1;-;1;-;4;2;10
"350400 ASSIS";1;10;67;63;16;3;4;-;-;5;10;3;182
"350410 ATIBAIA";1;1;5;8;1;-;-;1;-;4;1;1;23
"350420 AURIFLAMA";1;34;192;283;85;1;-;-;-;-;-;-;596
"350430 AVAI";-;-;-;1;2;-;-;-;-;-;-;-;3
"350440 AVANHANDAVA";-;2;18;84;56;-;-;-;-;-;-;-;160
"350450 AVARE";1;3;1;3;2;2;1;-;-;-;-;-;13
"350460 BADY BASSITT";2;47;82;20;5;-;-;-;-;-;-;-;156
"350470 BALBINOS";-;-;-;16;12;-;-;-;-;-;-;-;28
"350480 BALSAMO";-;15;34;17;7;-;-;-;1;2;1;-;77
"350510 BARBOSA";3;20;114;97;13;2;-;1;1;-;3;2;256
"350520 BARIRI";-;2;9;21;34;9;-;-;-;-;4;-;79
"350530 BARRA BONITA";-;-;1;1;-;-;-;-;-;1;5;2;10
"350550 BARRETOS";24;42;125;201;87;13;5;1;-;2;-;4;504
"350560 BARRINHA";-;3;3;2;3;1;-;-;1;-;-;-;13
"350570 BARUERI";5;26;171;295;155;24;10;6;8;5;8;15;728
"350580 BASTOS";-;35;467;73;3;-;-;-;-;1;-;-;579
"350590 BATATAIS";-;-;1;-;4;-;-;-;-;-;-;-;5
"350600 BAURU";13;66;335;904;522;91;18;3;3;6;22;16;1999
"350610 BEBEDOURO";543;1119;1128;342;69;7;2;-;-;-;-;24;3234
"350620 BENTO DE ABREU";-;3;3;14;3;-;-;-;-;-;-;-;23
"350635 BERTIOGA";-;6;5;19;14;10;10;2;-;1;2;2;71
"350640 BILAC";1;6;39;46;2;-;-;-;-;-;-;-;94
"350650 BIRIGUI";602;1784;2866;541;105;2;-;1;3;-;-;60;5964
"350680 BOCAINA";-;-;1;-;-;-;-;-;-;-;-;-;1
"350690 BOFETE";-;-;1;1;3;-;-;-;-;1;-;-;6
"350700 BOITUVA";2;-;2;36;7;-;-;-;-;-;-;-;47
"350710 BOM JESUS DOS PERDOES";-;-;2;-;-;-;-;-;-;-;-;-;2
"350730 BORACEIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"350740 BORBOREMA";2;-;-;2;3;-;-;1;-;-;3;-;11
"350745 BOREBI";-;-;-;-;-;-;-;-;-;-;-;1;1
"350750 BOTUCATU";2;1;5;13;4;1;1;-;3;1;2;2;35
"350760 BRAGANCA PAULISTA";1;1;7;8;1;-;1;1;1;2;1;4;28
"350770 BRAUNA";2;14;28;12;6;-;-;-;-;-;-;1;63
"350775 BREJO ALEGRE";1;12;75;9;-;-;-;-;-;-;-;-;97
"350780 BRODOWSKI";-;-;1;3;6;-;-;-;-;-;2;-;12
"350790 BROTAS";-;-;8;40;12;-;-;-;-;-;-;-;60
"350810 BURITAMA";4;36;251;251;40;-;-;-;-;-;-;-;582
"350820 BURITIZAL";-;-;2;3;-;-;-;-;-;-;1;1;7
"350830 CABRALIA PAULISTA";1;-;-;-;-;-;-;-;-;-;-;-;1
"350840 CABREUVA";1;-;4;1;3;2;1;-;1;2;1;1;17
"350850 CACAPAVA";-;2;5;-;1;-;1;-;-;-;-;-;9
"350860 CACHOEIRA PAULISTA";2;1;8;8;7;-;-;3;-;1;-;-;30
"350870 CACONDE";-;-;1;5;-;-;-;-;-;-;-;-;6
"350880 CAFELANDIA";1;2;7;2;1;-;-;-;-;-;1;1;15
"350890 CAIABU";-;-;2;-;-;-;-;-;-;-;-;-;2
"350900 CAIEIRAS";-;-;-;6;2;1;-;-;1;-;3;-;13
"350910 CAIUA";-;-;-;1;-;-;-;-;-;-;-;-;1
"350930 CAJOBI";1;1;10;7;2;1;-;-;-;-;1;-;23
"350940 CAJURU";-;-;-;3;-;-;-;-;-;-;-;1;4
"350945 CAMPINA DO MONTE ALEGRE";-;-;1;-;-;-;-;-;-;-;-;-;1
"350950 CAMPINAS";355;1458;4701;6869;2903;385;96;34;73;109;144;180;17307
"350960 CAMPO LIMPO PAULISTA";1;1;3;8;5;2;-;1;-;1;1;-;23
"350970 CAMPOS DO JORDAO";1;-;-;-;-;-;-;-;-;-;-;-;1
"350980 CAMPOS NOVOS PAULISTA";-;-;-;-;-;1;-;-;-;-;-;-;1
"350990 CANANEIA";-;-;1;-;-;-;-;-;-;-;-;-;1
"351000 CANDIDO MOTA";-;-;3;3;3;1;-;-;-;-;-;1;11
"351010 CANDIDO RODRIGUES";-;-;-;-;1;-;-;-;-;-;-;-;1
"351020 CAPAO BONITO";-;1;-;1;-;-;-;-;-;-;-;-;2
"351040 CAPIVARI";-;-;2;-;-;-;-;-;-;-;-;-;2
"351050 CARAGUATATUBA";-;1;47;189;294;142;52;3;2;2;2;1;735
"351060 CARAPICUIBA";1;1;6;14;11;1;1;1;1;-;1;1;39
"351070 CARDOSO";-;4;10;22;22;4;1;6;7;2;4;4;86
"351080 CASA BRANCA";-;-;4;14;11;-;-;-;-;-;-;-;29
