DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2021
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"352725 LOURDES";-;-;-;2;3;2;2;4;-;-;-;2;5;20
"352730 LOUVEIRA";-;1;2;6;9;2;-;-;-;-;-;3;3;26
"352740 LUCELIA";-;7;-;-;2;2;1;-;-;-;-;-;-;12
"352750 LUCIANOPOLIS";-;-;-;-;2;4;2;-;-;-;-;-;1;9
"352760 LUIS ANTONIO";-;4;2;4;5;2;4;2;2;-;1;4;3;33
"352770 LUIZIANIA";-;-;2;1;-;1;1;-;-;-;-;-;1;6
"352780 LUPERCIO";-;-;6;20;26;12;4;1;-;-;-;-;-;69
"352790 LUTECIA";-;1;-;-;6;8;2;-;-;-;1;-;-;18
"352800 MACATUBA";-;2;1;4;43;10;-;-;-;-;-;-;-;60
"352810 MACAUBAL";-;33;173;210;147;38;7;-;-;-;2;-;3;613
"352820 MACEDONIA";-;-;6;12;43;31;4;-;-;-;-;-;-;96
"352830 MAGDA";-;-;-;1;6;4;2;1;1;-;-;-;2;17
"352840 MAIRINQUE";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"352850 MAIRIPORA";-;-;-;4;6;4;3;-;1;-;-;-;-;18
"352870 MARABA PAULISTA";-;-;-;2;1;2;1;-;-;-;1;-;-;7
"352880 MARACAI";-;1;-;2;2;1;1;1;-;-;-;-;-;8
"352885 MARAPOAMA";-;1;1;3;10;25;8;1;-;-;-;-;-;49
"352890 MARIAPOLIS";-;-;-;-;1;-;1;-;-;-;-;-;-;2
"352900 MARILIA";-;184;377;711;1114;407;103;23;8;3;4;4;3;2941
"352910 MARINOPOLIS";-;1;-;-;4;3;2;1;-;1;-;-;-;12
"352920 MARTINOPOLIS";-;1;2;4;38;30;10;1;1;-;-;-;-;87
