DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2016
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350010 ADAMANTINA";-;18;30;31;14;3;1;-;-;-;-;-;2;99
"350020 ADOLFO";-;24;48;19;13;3;-;-;-;-;-;-;2;109
"350030 AGUAI";-;6;4;10;4;-;-;-;-;-;1;1;-;26
"350040 AGUAS DA PRATA";-;-;1;1;-;1;-;-;-;-;-;-;-;3
"350050 AGUAS DE LINDOIA";-;3;4;6;5;3;2;-;-;-;-;2;1;26
"350055 AGUAS DE SANTA BARBARA";-;1;-;-;1;-;-;-;-;-;-;-;-;2
"350060 AGUAS DE SAO PEDRO";-;-;-;-;4;1;-;-;-;-;-;-;1;6
"350070 AGUDOS";-;3;7;12;16;5;-;-;-;-;-;-;2;45
"350075 ALAMBARI";-;-;2;-;2;-;-;-;-;-;-;-;-;4
"350080 ALFREDO MARCONDES";-;8;4;5;3;1;-;-;-;-;-;-;1;22
"350090 ALTAIR";-;-;2;-;5;1;-;-;-;-;1;-;-;9
"350100 ALTINOPOLIS";-;4;5;7;2;-;-;-;-;-;-;-;1;19
"350110 ALTO ALEGRE";-;-;4;1;1;-;-;-;-;-;-;-;-;6
"350115 ALUMINIO";-;1;16;6;-;-;-;-;-;-;1;-;1;25
"350120 ALVARES FLORENCE";-;2;7;3;8;4;-;-;-;-;-;1;-;25
"350130 ALVARES MACHADO";-;96;140;96;56;1;2;1;1;1;-;2;6;402
"350140 ALVARO DE CARVALHO";-;1;-;-;-;-;-;-;-;-;-;-;1;2
"350150 ALVINLANDIA";-;1;2;-;1;-;-;-;-;-;-;-;-;4
"350160 AMERICANA";-;47;188;512;394;141;17;11;6;2;7;4;8;1337
"350170 AMERICO BRASILIENSE";-;19;47;54;28;6;1;-;-;3;2;1;4;165
"350180 AMERICO DE CAMPOS";-;4;2;1;2;-;-;-;-;-;-;-;-;9
"350190 AMPARO";-;6;12;20;13;2;-;1;2;1;5;11;8;81
"350200 ANALANDIA";-;-;2;1;-;-;-;-;-;1;-;-;1;5
"350210 ANDRADINA";-;284;399;436;212;45;31;15;22;1;-;-;18;1463
"350220 ANGATUBA";-;4;9;44;65;5;-;-;-;-;-;1;1;129
"350230 ANHEMBI";-;2;-;-;-;1;-;-;-;-;-;-;-;3
"350240 ANHUMAS";-;31;26;21;5;-;-;-;-;-;-;-;7;90
"350250 APARECIDA";-;-;2;7;11;13;1;-;-;-;-;-;-;34
"350260 APARECIDA D'OESTE";-;8;36;37;18;13;-;-;-;-;-;-;-;112
"350270 APIAI";-;-;1;2;1;1;-;-;-;-;1;1;-;7
"350275 ARACARIGUAMA";-;3;5;9;3;1;-;-;-;-;-;-;-;21
"350280 ARACATUBA";-;95;151;249;171;83;21;11;4;4;3;1;3;796
"350290 ARACOIABA DA SERRA";-;-;3;4;2;1;-;1;-;1;1;-;-;13
"350300 ARAMINA";-;3;2;2;11;3;3;1;-;-;-;-;-;25
"350315 ARAPEI";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"350320 ARARAQUARA";-;205;346;546;549;199;33;8;5;7;12;14;21;1945
"350330 ARARAS";-;15;78;150;117;38;6;1;-;1;3;1;1;411
"350335 ARCO-IRIS";-;-;1;4;-;-;-;-;-;-;-;-;-;5
"350340 AREALVA";-;9;5;1;3;-;-;-;-;-;-;-;-;18
"350350 AREIAS";-;-;3;1;-;-;-;-;-;1;-;-;-;5
"350360 AREIOPOLIS";-;-;2;-;-;-;-;-;-;-;-;-;-;2
"350370 ARIRANHA";-;-;4;7;3;2;-;1;-;-;-;-;-;17
"350380 ARTUR NOGUEIRA";-;8;18;33;28;4;-;1;-;-;-;-;2;94
"350390 ARUJA";-;36;42;36;45;27;9;-;2;7;3;13;7;227
"350395 ASPASIA";-;1;-;1;-;-;-;-;-;-;-;-;1;3
"350400 ASSIS";-;7;21;23;72;15;-;1;-;2;2;2;3;148
"350410 ATIBAIA";-;27;49;20;12;11;6;1;5;2;2;3;4;142
"350420 AURIFLAMA";-;5;28;24;41;9;3;4;-;-;-;-;1;115
"350440 AVANHANDAVA";-;8;10;7;1;-;1;-;-;-;-;-;-;27
"350450 AVARE";-;-;11;1;2;-;-;-;-;-;-;-;-;14
"350460 BADY BASSITT";-;14;23;21;69;24;13;1;-;-;-;-;2;167
"350470 BALBINOS";-;-;2;-;-;-;-;-;-;-;-;-;-;2
"350480 BALSAMO";-;6;18;23;20;9;-;2;-;-;-;-;-;78
"350490 BANANAL";-;4;4;-;2;1;-;-;-;-;-;-;-;11
"350510 BARBOSA";-;3;4;1;1;1;-;-;-;-;-;-;-;10
"350520 BARIRI";-;-;3;3;-;-;-;-;-;-;-;-;-;6
"350530 BARRA BONITA";-;1;10;6;4;1;-;-;-;-;-;-;-;22
"350540 BARRA DO TURVO";-;2;6;2;1;-;-;-;-;-;-;-;1;12
"350550 BARRETOS";-;527;423;287;69;5;5;-;1;3;3;6;53;1382
"350560 BARRINHA";-;47;140;149;28;4;1;3;-;1;1;1;2;377
"350570 BARUERI";-;19;38;63;54;7;-;1;3;5;5;7;10;212
"350580 BASTOS";-;17;30;24;13;1;4;2;-;-;-;-;-;91
"350590 BATATAIS";-;787;1286;1116;730;257;10;5;-;-;-;5;68;4264
"350600 BAURU";-;144;278;376;431;130;19;10;7;5;9;11;18;1438
"350610 BEBEDOURO";-;11;29;42;22;8;2;1;-;1;1;-;2;119
"350620 BENTO DE ABREU";-;3;2;10;2;-;-;-;-;-;-;-;-;17
"350630 BERNARDINO DE CAMPOS";-;-;1;1;1;-;-;-;-;-;-;-;-;3
"350635 BERTIOGA";-;46;99;215;342;116;24;3;1;3;4;5;9;867
"350640 BILAC";-;165;66;50;20;12;3;3;-;1;-;-;8;328
"350650 BIRIGUI";-;573;1309;1902;852;105;11;6;8;3;3;20;30;4822
"350660 BIRITIBA-MIRIM";-;2;7;12;10;3;-;-;-;-;-;-;-;34
"350670 BOA ESPERANCA DO SUL";-;-;2;6;16;8;1;-;-;-;-;1;-;34
"350680 BOCAINA";-;-;4;6;1;-;-;-;-;-;-;-;-;11
"350690 BOFETE";-;2;5;4;21;-;-;-;-;-;-;-;1;33
