DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Mês 1º Sintoma(s)
Período:2016
"Município de notificação";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"350700 BOITUVA";-;3;5;7;3;2;-;-;-;-;-;-;1;21
"350710 BOM JESUS DOS PERDOES";-;1;-;-;1;-;-;-;-;-;-;-;-;2
"350720 BORA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"350730 BORACEIA";-;-;7;27;17;2;-;-;-;-;-;-;-;53
"350740 BORBOREMA";-;10;50;35;21;8;-;-;-;-;-;-;1;125
"350750 BOTUCATU";-;29;29;35;48;7;2;-;-;-;-;1;1;152
"350760 BRAGANCA PAULISTA";-;27;26;64;85;37;10;2;3;-;1;1;7;263
"350770 BRAUNA";-;3;6;9;1;-;-;-;-;-;-;-;-;19
"350775 BREJO ALEGRE";-;3;5;7;-;-;-;-;-;-;-;-;-;15
"350780 BRODOWSKI";-;15;31;95;149;18;-;4;-;1;-;-;3;316
"350790 BROTAS";-;9;5;1;3;-;-;-;1;-;-;-;-;19
"350800 BURI";-;1;-;1;2;-;-;-;-;-;-;-;-;4
"350810 BURITAMA";-;51;153;189;124;41;13;2;1;-;-;-;-;574
"350820 BURITIZAL";-;6;53;26;4;-;-;-;-;-;-;-;-;89
"350830 CABRALIA PAULISTA";-;-;-;2;1;-;-;-;-;-;-;1;-;4
"350840 CABREUVA";-;-;4;31;30;9;6;-;-;-;2;-;-;82
"350850 CACAPAVA";-;10;10;22;9;2;-;-;1;-;1;1;1;57
"350860 CACHOEIRA PAULISTA";-;1;7;12;13;3;-;-;-;-;1;3;1;41
"350870 CACONDE";-;-;2;4;1;3;1;-;-;-;-;1;-;12
"350880 CAFELANDIA";-;3;19;17;4;1;1;-;-;-;1;1;1;48
"350890 CAIABU";-;6;17;11;3;3;-;-;-;-;-;-;-;40
"350900 CAIEIRAS";-;14;87;130;32;5;9;-;1;2;1;-;2;283
"350910 CAIUA";-;6;16;5;-;-;-;-;-;-;-;-;-;27
"350920 CAJAMAR";-;63;45;84;53;13;5;-;3;-;-;2;3;271
"350925 CAJATI";-;1;9;14;8;3;1;-;-;1;-;3;1;41
"350930 CAJOBI";-;5;10;32;12;3;-;-;-;-;-;-;-;62
"350940 CAJURU";-;8;7;3;4;-;-;-;-;-;-;-;1;23
"350945 CAMPINA DO MONTE ALEGRE";-;2;2;-;1;6;-;-;-;-;-;-;-;11
"350950 CAMPINAS";-;480;745;1379;829;221;38;33;35;42;58;66;95;4021
"350960 CAMPO LIMPO PAULISTA";-;1;2;-;4;2;-;-;-;-;-;9;-;18
"350970 CAMPOS DO JORDAO";-;-;1;5;-;2;-;-;1;-;-;1;-;10
"350980 CAMPOS NOVOS PAULISTA";-;-;-;-;4;-;-;-;-;-;-;-;-;4
"350990 CANANEIA";-;-;4;16;9;3;-;-;-;-;-;-;-;32
"350995 CANAS";-;-;7;6;1;-;-;-;-;-;-;-;-;14
"351000 CANDIDO MOTA";-;5;4;10;17;2;3;-;3;1;1;1;1;48
"351010 CANDIDO RODRIGUES";-;33;26;2;1;-;-;-;-;1;-;-;1;64
"351015 CANITAR";-;-;1;-;-;-;-;-;-;-;-;-;1;2
"351020 CAPAO BONITO";-;3;1;4;2;-;1;-;1;-;-;2;-;14
"351030 CAPELA DO ALTO";-;2;2;1;24;3;-;-;-;1;-;1;-;34
"351040 CAPIVARI";-;45;84;60;71;24;3;-;1;-;2;3;1;294
"351050 CARAGUATATUBA";-;11;12;28;42;37;1;9;-;1;6;1;1;149
"351060 CARAPICUIBA";-;3;10;21;24;8;2;-;-;-;-;1;2;71
"351080 CASA BRANCA";-;-;6;18;33;17;1;-;1;1;-;-;-;77
"351090 CASSIA DOS COQUEIROS";-;-;11;3;7;-;-;-;-;-;1;2;-;24
"351100 CASTILHO";-;105;219;139;63;4;-;-;1;1;2;-;4;538
"351110 CATANDUVA";-;29;33;39;40;20;13;3;2;1;1;3;3;187
"351120 CATIGUA";-;4;1;-;-;-;-;-;-;-;-;-;1;6
"351130 CEDRAL";-;25;30;31;18;8;5;-;-;-;-;-;1;118
"351150 CERQUILHO";-;3;1;4;-;2;-;-;-;-;-;-;-;10
"351160 CESARIO LANGE";-;-;1;3;8;6;1;-;-;1;-;-;-;20
"351170 CHARQUEADA";-;-;-;1;6;1;-;-;-;-;-;-;-;8
"351190 CLEMENTINA";-;4;3;3;4;1;-;-;-;-;-;-;-;15
"351200 COLINA";-;-;8;9;15;-;1;-;1;1;-;-;-;35
"351210 COLOMBIA";-;5;5;10;7;9;1;-;-;-;-;-;2;39
"351220 CONCHAL";-;-;10;7;12;4;-;-;-;3;2;-;-;38
"351230 CONCHAS";-;-;-;2;1;-;-;-;-;-;-;1;-;4
"351240 CORDEIROPOLIS";-;1;1;3;3;-;-;-;-;-;-;-;-;8
"351250 COROADOS";-;32;29;30;51;24;4;-;-;-;2;-;2;174
"351270 CORUMBATAI";-;1;-;1;-;-;-;-;-;-;-;-;1;3
"351280 COSMOPOLIS";-;6;16;7;1;2;1;-;-;-;-;-;4;37
"351290 COSMORAMA";-;11;-;-;-;1;-;-;-;-;-;-;5;17
"351300 COTIA";-;26;44;65;42;15;1;1;2;2;1;2;2;203
"351310 CRAVINHOS";-;7;71;70;18;3;-;-;-;1;-;-;2;172
"351320 CRISTAIS PAULISTA";-;-;-;4;3;11;1;-;-;1;1;-;-;21
"351330 CRUZALIA";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"351340 CRUZEIRO";-;4;16;25;19;17;-;3;-;-;1;1;2;88
"351350 CUBATAO";-;24;48;49;43;29;8;3;3;3;2;1;20;233
"351370 DESCALVADO";-;20;17;15;20;6;-;-;-;-;-;-;1;79
"351380 DIADEMA";-;67;73;131;123;62;20;2;1;-;1;3;5;488
"351385 DIRCE REIS";-;9;20;7;12;-;-;-;-;-;-;-;-;48
"351390 DIVINOLANDIA";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"351400 DOBRADA";-;5;29;46;13;5;-;-;-;-;-;1;1;100
"351410 DOIS CORREGOS";-;-;-;1;2;4;-;-;-;-;-;-;-;7
"351420 DOLCINOPOLIS";-;89;20;4;1;-;-;-;-;-;-;-;3;117
"351430 DOURADO";-;-;-;-;2;-;-;-;-;-;-;-;-;2
"351440 DRACENA";-;32;35;1;-;-;1;-;-;-;1;1;2;73
"351450 DUARTINA";-;-;1;-;2;1;-;-;-;-;-;-;-;4
"351460 DUMONT";-;54;147;143;14;-;-;-;2;-;-;-;1;361
"351470 ECHAPORA";-;-;1;-;1;-;-;-;-;-;-;-;-;2
"351480 ELDORADO";-;2;-;3;1;-;-;-;-;-;-;-;-;6
"351490 ELIAS FAUSTO";-;3;1;3;1;-;-;-;1;-;-;-;-;9
"351492 ELISIARIO";-;-;4;-;1;2;2;-;-;-;-;1;-;10
"351495 EMBAUBA";-;-;3;2;1;1;-;-;-;-;-;-;-;7
"351500 EMBU DAS ARTES";-;3;19;35;20;5;-;-;-;-;-;1;2;85
"351510 EMBU-GUACU";-;5;6;22;3;-;-;-;-;-;-;-;1;37
"351512 EMILIANOPOLIS";-;3;5;1;-;-;-;-;-;-;-;-;1;10
"351515 ENGENHEIRO COELHO";-;3;6;8;6;-;-;-;-;-;-;-;-;23
"351518 ESPIRITO SANTO DO PINHAL";-;7;27;30;23;2;1;-;-;-;1;1;2;94
"351519 ESPIRITO SANTO DO TURVO";-;-;2;-;-;-;-;-;-;-;-;-;1;3
"351520 ESTRELA D'OESTE";-;4;7;6;1;3;-;1;1;2;1;1;-;27
"351530 ESTRELA DO NORTE";-;12;33;53;10;1;-;-;-;-;-;1;-;110
"351535 EUCLIDES DA CUNHA PAULISTA";-;45;68;24;10;6;-;-;1;1;3;2;3;163
"351540 FARTURA";-;1;1;2;-;-;-;-;-;-;-;-;-;4
"351550 FERNANDOPOLIS";-;41;102;272;263;86;32;13;4;1;2;3;3;822
"351560 FERNANDO PRESTES";-;1;3;2;-;-;-;-;-;-;-;-;1;7
"351565 FERNAO";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"351570 FERRAZ DE VASCONCELOS";-;23;35;49;6;2;1;1;-;-;-;1;5;123
"351580 FLORA RICA";-;-;2;3;-;-;-;-;-;-;-;-;-;5
"351590 FLOREAL";-;2;4;-;-;-;-;-;-;-;-;-;1;7
"351600 FLORIDA PAULISTA";-;4;13;33;28;10;-;-;-;1;1;-;-;90
"351610 FLORINIA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"351620 FRANCA";-;399;802;896;860;347;59;15;9;24;19;10;51;3491
"351630 FRANCISCO MORATO";-;45;92;121;28;6;2;1;-;-;-;4;4;303
"351640 FRANCO DA ROCHA";-;17;81;124;71;7;1;-;-;-;1;2;2;306
"351650 GABRIEL MONTEIRO";-;14;7;2;1;-;-;-;-;-;-;-;1;25
"351660 GALIA";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"351670 GARCA";-;10;2;4;2;-;-;-;-;-;-;-;2;20
"351680 GASTAO VIDIGAL";-;2;2;-;-;-;-;-;-;-;-;-;-;4
"351685 GAVIAO PEIXOTO";-;1;-;6;-;-;-;-;-;-;-;-;-;7
"351690 GENERAL SALGADO";-;14;70;45;17;11;2;-;-;-;-;1;1;161
"351700 GETULINA";-;4;1;4;2;1;-;-;-;-;-;1;-;13
"351710 GLICERIO";-;9;10;2;-;-;1;-;1;4;-;-;-;27
"351720 GUAICARA";-;2;2;1;3;2;-;-;-;-;-;-;-;10
"351730 GUAIMBE";-;2;-;-;1;-;-;-;-;-;-;-;-;3
"351740 GUAIRA";-;1208;773;345;110;14;1;-;-;-;1;7;233;2692
"351750 GUAPIACU";-;20;46;84;37;5;2;6;6;1;1;2;2;212
"351760 GUAPIARA";-;1;-;2;-;1;-;-;-;-;-;-;-;4
"351770 GUARA";-;11;2;-;1;2;-;-;-;-;-;-;11;27
"351780 GUARACAI";-;27;32;35;19;1;-;-;1;1;-;-;1;117
"351790 GUARACI";-;10;2;-;1;-;-;-;-;-;-;-;-;13
"351800 GUARANI D'OESTE";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"351810 GUARANTA";-;6;11;16;20;8;2;-;-;-;-;-;-;63
"351820 GUARARAPES";-;7;14;7;10;1;1;-;1;2;2;4;2;51
"351830 GUARAREMA";-;4;7;38;1;1;2;-;-;-;-;2;1;56
"351840 GUARATINGUETA";-;7;14;37;23;17;2;-;4;2;2;3;4;115
"351850 GUAREI";-;1;-;1;1;-;-;-;-;-;-;-;-;3
"351860 GUARIBA";-;60;38;42;32;9;1;2;1;-;1;-;1;187
"351870 GUARUJA";-;83;207;267;222;94;12;2;2;2;2;-;12;905
"351880 GUARULHOS";-;90;207;295;343;164;13;4;4;7;4;6;11;1148
"351885 GUATAPARA";-;28;50;34;1;-;-;-;-;-;-;-;1;114
"351890 GUZOLANDIA";-;5;2;7;1;1;1;-;-;-;-;-;1;18
"351900 HERCULANDIA";-;2;10;16;7;-;-;-;-;-;-;-;-;35
"351905 HOLAMBRA";-;3;2;3;3;-;-;-;-;-;-;1;-;12
"351907 HORTOLANDIA";-;102;229;395;241;61;14;25;16;20;28;70;61;1262
"351910 IACANGA";-;1;6;18;7;1;-;-;-;-;-;-;-;33
"351920 IACRI";-;5;2;7;-;-;-;-;-;-;-;-;1;15
"351930 IBATE";-;6;9;11;8;6;-;-;-;-;-;-;-;40
"351940 IBIRA";-;7;33;66;47;10;2;1;-;-;-;1;2;169
"351950 IBIRAREMA";-;29;50;59;7;1;-;-;-;-;-;-;4;150
"351960 IBITINGA";-;719;727;457;164;13;3;-;2;1;1;-;45;2132
"351970 IBIUNA";-;7;30;22;-;-;-;-;-;-;-;-;1;60
"351980 ICEM";-;2;7;6;23;11;-;2;1;-;-;-;-;52
"351990 IEPE";-;3;15;11;13;-;-;-;-;-;-;-;-;42
"352000 IGARACU DO TIETE";-;1;5;-;1;1;-;1;-;-;-;-;-;9
"352010 IGARAPAVA";-;12;55;40;-;-;-;-;-;-;-;-;1;108
"352020 IGARATA";-;-;2;2;-;1;-;-;-;1;-;-;-;6
"352030 IGUAPE";-;-;1;-;-;-;-;-;-;1;-;-;-;2
"352040 ILHABELA";-;46;47;25;20;8;-;1;1;1;-;5;3;157
"352042 ILHA COMPRIDA";-;2;10;-;4;-;-;-;-;-;-;-;1;17
"352044 ILHA SOLTEIRA";-;47;72;90;29;2;-;2;-;-;-;-;6;248
"352050 INDAIATUBA";-;39;69;131;193;55;2;-;1;-;3;2;7;502
"352060 INDIANA";-;6;17;9;1;1;1;-;-;-;-;-;-;35
"352070 INDIAPORA";-;6;9;13;18;5;3;-;-;-;-;-;-;54
"352080 INUBIA PAULISTA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"352090 IPAUSSU";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"352100 IPERO";-;1;6;8;9;-;-;-;-;-;1;-;-;25
"352110 IPEUNA";-;-;2;1;4;-;-;-;-;-;-;-;-;7
"352115 IPIGUA";-;2;17;29;27;8;1;1;-;-;-;-;-;85
"352130 IPUA";-;39;66;11;-;-;-;-;-;-;-;-;6;122
"352140 IRACEMAPOLIS";-;-;3;4;2;1;-;-;-;-;-;-;1;11
"352150 IRAPUA";-;-;2;2;2;1;-;-;-;-;-;-;-;7
"352160 IRAPURU";-;6;2;2;1;-;-;-;-;-;-;-;-;11
"352170 ITABERA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"352190 ITAJOBI";-;1;12;21;12;4;-;-;-;-;-;-;1;51
"352200 ITAJU";-;1;1;-;3;-;-;-;-;-;-;-;-;5
"352210 ITANHAEM";-;7;6;6;6;4;-;-;-;-;-;-;1;30
"352220 ITAPECERICA DA SERRA";-;5;19;40;63;22;2;1;-;1;6;7;5;171
"352230 ITAPETININGA";-;5;2;11;11;2;-;-;-;-;-;1;-;32
"352240 ITAPEVA";-;5;5;4;3;-;-;-;-;-;-;-;2;19
"352250 ITAPEVI";-;21;25;62;13;2;1;-;-;-;-;-;2;126
"352260 ITAPIRA";-;20;8;19;17;5;-;-;-;-;1;2;-;72
"352270 ITAPOLIS";-;145;182;311;332;66;5;1;-;2;1;1;13;1059
"352280 ITAPORANGA";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"352290 ITAPUI";-;1;1;-;-;-;-;-;-;-;-;1;-;3
"352300 ITAPURA";-;6;7;5;-;-;-;-;-;-;-;-;1;19
"352310 ITAQUAQUECETUBA";-;6;10;24;27;5;-;-;-;-;-;-;1;73
"352320 ITARARE";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"352330 ITARIRI";-;10;-;-;-;-;-;-;-;-;-;-;-;10
"352340 ITATIBA";-;6;9;30;40;6;-;-;-;-;1;5;1;98
"352360 ITIRAPINA";-;-;1;-;3;-;1;-;-;-;-;-;-;5
"352370 ITIRAPUA";-;21;124;58;35;8;2;-;-;1;-;1;-;250
"352380 ITOBI";-;-;4;-;-;-;-;-;-;-;-;-;-;4
"352390 ITU";-;307;569;979;1086;295;15;3;1;-;2;1;18;3276
"352400 ITUPEVA";-;4;6;1;6;1;-;-;2;1;1;-;1;23
"352410 ITUVERAVA";-;325;592;302;44;7;2;1;2;-;1;1;18;1295
"352420 JABORANDI";-;50;63;24;3;-;1;-;-;-;-;-;3;144
"352430 JABOTICABAL";-;283;329;320;107;32;2;1;3;2;3;4;25;1111
"352440 JACAREI";-;26;44;65;34;10;5;2;-;4;7;4;1;202
"352450 JACI";-;46;22;18;31;10;-;-;3;-;2;-;11;143
"352470 JAGUARIUNA";-;7;12;27;18;3;2;1;-;-;4;-;2;76
"352480 JALES";-;219;583;661;308;48;14;10;2;1;-;2;13;1861
"352490 JAMBEIRO";-;1;1;2;-;-;-;-;-;-;1;-;-;5
"352500 JANDIRA";-;8;25;28;12;-;-;-;-;-;4;3;6;86
"352510 JARDINOPOLIS";-;1009;892;455;232;17;1;1;1;-;-;-;59;2667
"352520 JARINU";-;3;2;1;5;1;-;-;-;-;-;-;-;12
"352530 JAU";-;20;31;13;4;3;1;-;-;-;-;-;1;73
"352540 JERIQUARA";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"352560 JOAO RAMALHO";-;-;-;1;3;-;-;-;-;-;-;-;-;4
"352570 JOSE BONIFACIO";-;21;139;118;27;1;1;-;-;1;-;-;3;311
"352580 JULIO MESQUITA";-;-;2;5;6;-;-;-;-;-;-;-;-;13
"352585 JUMIRIM";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"352590 JUNDIAI";-;125;110;185;157;55;16;11;5;4;7;12;16;703
"352600 JUNQUEIROPOLIS";-;4;3;5;2;-;-;-;-;-;-;-;2;16
"352610 JUQUIA";-;6;59;83;1;-;-;-;-;-;-;-;-;149
"352630 LAGOINHA";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"352640 LARANJAL PAULISTA";-;3;7;1;3;1;-;-;-;-;-;-;-;15
"352650 LAVINIA";-;18;13;7;3;1;-;-;-;-;-;-;2;44
"352660 LAVRINHAS";-;3;4;4;2;-;1;-;-;-;-;-;1;15
"352670 LEME";-;2;6;11;20;8;-;-;-;-;1;-;-;48
"352680 LENCOIS PAULISTA";-;4;3;14;16;-;-;1;-;-;-;-;-;38
"352690 LIMEIRA";-;27;40;48;20;6;4;-;-;-;3;3;3;154
"352700 LINDOIA";-;2;2;3;-;-;-;-;-;-;2;-;-;9
"352710 LINS";-;9;14;26;17;4;-;-;-;-;-;-;1;71
"352720 LORENA";-;11;33;19;28;5;-;1;-;-;-;3;2;102
"352725 LOURDES";-;-;3;9;2;1;-;-;-;-;-;1;1;17
"352730 LOUVEIRA";-;11;8;5;3;-;-;-;-;-;-;4;1;32
"352740 LUCELIA";-;11;8;7;7;2;-;-;-;-;-;-;3;38
"352750 LUCIANOPOLIS";-;-;1;3;1;-;-;-;-;-;-;1;-;6
"352760 LUIS ANTONIO";-;33;46;22;17;8;6;1;-;-;-;-;6;139
"352770 LUIZIANIA";-;-;1;9;6;-;1;-;-;-;-;-;-;17
"352790 LUTECIA";-;1;6;3;2;-;-;-;-;-;3;-;1;16
"352800 MACATUBA";-;-;-;1;1;1;-;-;-;-;-;-;-;3
"352810 MACAUBAL";-;11;6;3;-;-;1;-;-;-;-;1;1;23
"352820 MACEDONIA";-;-;3;11;14;5;2;-;-;-;-;-;-;35
"352830 MAGDA";-;3;1;-;2;-;-;-;-;-;-;-;1;7
"352840 MAIRINQUE";-;3;-;6;2;-;-;-;-;-;-;-;2;13
"352850 MAIRIPORA";-;3;6;9;3;1;-;-;-;-;-;-;-;22
"352860 MANDURI";-;-;3;6;-;-;-;-;-;-;-;-;-;9
"352870 MARABA PAULISTA";-;1;-;3;3;-;-;-;-;-;1;-;2;10
"352880 MARACAI";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"352885 MARAPOAMA";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"352890 MARIAPOLIS";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"352900 MARILIA";-;81;90;128;109;17;3;2;6;2;7;9;10;464
"352910 MARINOPOLIS";-;5;8;6;-;-;-;1;-;-;-;-;-;20
"352920 MARTINOPOLIS";-;20;79;101;91;23;2;-;-;-;-;1;1;318
"352930 MATAO";-;239;381;703;693;136;13;1;2;3;3;1;17;2192
"352940 MAUA";-;36;103;96;119;48;3;-;-;1;2;2;2;412
"352950 MENDONCA";-;7;17;29;35;8;3;-;-;-;-;-;3;102
"352960 MERIDIANO";-;-;4;5;5;-;-;1;-;-;-;-;-;15
"352965 MESOPOLIS";-;2;1;2;-;-;-;-;-;-;-;-;2;7
"352970 MIGUELOPOLIS";-;38;109;46;2;1;-;-;-;-;-;1;2;199
"352980 MINEIROS DO TIETE";-;1;1;2;-;-;-;-;-;-;-;-;-;4
"352990 MIRACATU";-;5;2;4;8;1;-;-;-;-;1;-;1;22
"353000 MIRA ESTRELA";-;-;1;1;3;-;1;1;-;-;-;-;-;7
"353010 MIRANDOPOLIS";-;380;202;37;14;3;3;-;1;1;5;2;87;735
"353020 MIRANTE DO PARANAPANEMA";-;123;367;230;66;24;6;1;1;-;4;-;1;823
"353030 MIRASSOL";-;22;26;17;20;8;1;-;1;-;-;-;4;99
"353040 MIRASSOLANDIA";-;2;3;8;10;4;3;-;-;-;-;-;-;30
"353050 MOCOCA";-;18;80;116;45;4;-;-;-;1;1;1;-;266
"353060 MOGI DAS CRUZES";-;45;76;150;157;65;13;7;3;5;11;12;11;555
"353070 MOGI GUACU";-;26;34;42;18;6;1;-;2;-;7;5;3;144
"353080 MOGI MIRIM";-;15;12;71;59;7;-;1;3;2;1;-;4;175
"353090 MOMBUCA";-;-;1;-;-;-;-;-;-;-;1;-;-;2
"353100 MONCOES";-;8;27;14;4;1;-;-;2;1;1;-;-;58
"353110 MONGAGUA";-;2;-;3;5;-;-;1;2;1;9;1;1;25
"353120 MONTE ALEGRE DO SUL";-;-;-;2;2;-;-;-;-;-;1;2;-;7
"353130 MONTE ALTO";-;7;30;30;1;1;-;-;-;-;-;1;2;72
"353140 MONTE APRAZIVEL";-;7;15;57;25;12;-;-;-;-;-;1;1;118
"353150 MONTE AZUL PAULISTA";-;138;227;131;23;52;3;-;1;-;1;1;13;590
